protocol,learner,horizon_s,auprc,lift,auroc,ece
loco,gru,1.0,0.3748504747373874,5.523097046302157,0.8520408064898617,0.03766668729648879
loco,gru,2.0,0.39504314783051264,3.139149528088902,0.8027267063674068,0.049453140626963966
loco,gru,3.0,0.4419034041659386,2.507232656397234,0.7802719884806064,0.05836222370234302
loco,gru,5.0,0.5250285323707162,2.0098017348772066,0.7588054962408421,0.06546009781751978
loco,lgbm,0.5,0.34503375309208656,9.291034291727346,0.9082276494005885,0.014826357137384337
loco,lgbm,1.0,0.5998204090789319,8.837834157783918,0.9108590874922694,0.015830735656784094
loco,lgbm,2.0,0.5194811398476228,4.127976865209139,0.8381261634974201,0.034516425103645144
loco,lgbm,3.0,0.5194738357439774,2.947344946526266,0.8052221101264774,0.0590055932093353
loco,lgbm,5.0,0.5596397909138423,2.1422931390151096,0.7705953371425832,0.09588338262087519
loco,lr,0.5,0.25043078937387175,6.743575174675732,0.8832215441723528,0.01051953578233439
loco,lr,1.0,0.4508890803200399,6.643460034218084,0.8860197584403527,0.0241272537198584
loco,lr,2.0,0.4689879164237565,3.7267402424422458,0.8373021138124846,0.02493856807019344
loco,lr,3.0,0.507117289007057,2.8772374587652703,0.8150729800550055,0.031244585791718887
loco,lr,5.0,0.5750394075686293,2.201242651967257,0.7912102195833496,0.033780390578752914
random_row,gru,0.5,0.2394358232565642,6.447503830012184,0.8719897561029224,0.014738744074029888
random_row,gru,1.0,0.41283882274114164,6.08282244827857,0.8732613037348752,0.025431771689160738
random_row,gru,2.0,0.45089516375010563,3.582968970040155,0.8336712257347919,0.032075079980634844
random_row,gru,3.0,0.5110573785485804,2.899592392161364,0.8202244241236681,0.03846053759002575
random_row,gru,5.0,0.6033963992008038,2.3097928115574438,0.8078104977773134,0.04390231595744355
random_row,lgbm,0.5,0.43481652528205555,11.708695774836544,0.9432841036533205,0.012639825906510761
random_row,lgbm,1.0,0.7154262636184269,10.541186285561382,0.9474318604725726,0.01565285175017105
random_row,lgbm,2.0,0.6855664327695417,5.447748064283406,0.920544806608265,0.022319714333677538
random_row,lgbm,3.0,0.7419568775620732,4.209649655388513,0.923578321446289,0.023174696869681988
random_row,lgbm,5.0,0.8371369848741131,3.20454844031579,0.932296117025729,0.02890778619788888
random_row,lr,0.5,0.2883459119209762,7.764549791226288,0.895080405192596,0.01240548520265639
random_row,lr,1.0,0.49053907804630253,7.227668405519277,0.8952655277404139,0.025186965450343036
random_row,lr,2.0,0.503286569848865,3.999289209067299,0.8491407597346337,0.019933317174458426
random_row,lr,3.0,0.5424810407820266,3.0778812023233875,0.8292828270231561,0.024902178188806894
random_row,lr,5.0,0.6102020604435979,2.335844785744432,0.8071572868897722,0.024799619274574695
