arm,capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
independent + cumulative max,15 Sept (highway),1.0,2205,0.050793650793650794,0.10849440081705203,2.135983516085712,0.7276380451846292,0.036194683927538315,0.049995168538208075
independent + cumulative max,15 Sept (highway),2.0,2205,0.09523809523809523,0.2050743575011677,2.153280753762261,0.7374149659863946,0.05563227065249825,0.09086707973459936
independent + cumulative max,15 Sept (highway),3.0,2205,0.1360544217687075,0.28080541413270815,2.063919793875405,0.7307156605424321,0.07729049473280529,0.1242885027377051
independent + cumulative max,15 Sept (highway),5.0,2205,0.20770975056689342,0.3937460080816303,1.8956549079039189,0.7168483463854444,0.14895823638526323,0.18773083029405163
independent + PAV,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.1127806410249127,2.2535434509381638,0.7288279140301791,0.042916191216989134,0.04900459949678453
independent + PAV,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.18350896578017228,2.1960578432374467,0.7470380321081723,0.05550370735341559,0.07780748093381092
independent + PAV,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.3007145346928554,1.9609468759312547,0.731149414836271,0.08826679435244371,0.1304908020693569
independent + PAV,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.3755802494677284,1.7705926046335767,0.7215991079627443,0.10173873939253802,0.16741339155121987
independent + PAV,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.47706814492519034,1.5280212053633302,0.6970627503337784,0.15103799510440946,0.22184846198511424
independent + PAV,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.12970447247986552,3.0561616328068317,0.7981494305940289,0.03392226363061761,0.04105538742815296
independent + PAV,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.23627798534986952,2.9692266825633604,0.7763368555875761,0.0493370850805882,0.07060870034147348
independent + PAV,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.33171845958705215,2.2737792593512482,0.7560700169395822,0.06714405719552312,0.11835949462750012
independent + PAV,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.39178360736669343,1.9606515926182755,0.7417787121693639,0.0818039826981344,0.15240590804270737
independent + PAV,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5134438479695171,1.8034316523401364,0.7404049167364049,0.11664930955753111,0.1934504928452067
independent + PAV,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.0995131204585697,2.7053478411391696,0.7710719060194338,0.03347310797455229,0.036270138562453424
independent + PAV,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.17053904250947113,2.632642907482891,0.7584861306182846,0.04962032466885535,0.061168588129789654
independent + PAV,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.2766058605594764,2.290385993635341,0.7435560953265786,0.08100915084111347,0.10650140796877865
independent + PAV,13 Sept (dense urban),3.0,3072,0.1708984375,0.3722815814912582,2.178379082554562,0.7392173799240936,0.10419385047043966,0.1395637470351942
independent + PAV,13 Sept (dense urban),5.0,3072,0.2548828125,0.4699452291354548,1.8437697878724355,0.7225840504338868,0.14499486663812974,0.19107871666788456
independent + PAV,15 Sept (highway),0.5,2205,0.022222222222222223,0.041385276569592615,1.8623374456316677,0.7152606868350309,0.019095682720517836,0.022629087948983856
independent + PAV,15 Sept (highway),1.0,2205,0.050793650793650794,0.10991539775112949,2.163959393225362,0.7293358815097946,0.036239443198900295,0.04982577204255602
independent + PAV,15 Sept (highway),2.0,2205,0.09523809523809523,0.2032623855981511,2.1342550487805867,0.73671798543979,0.05342718033610312,0.09042276666112832
independent + PAV,15 Sept (highway),3.0,2205,0.1360544217687075,0.27985212476610466,2.056913117030869,0.7298635170603673,0.07713470344178938,0.12352552721322259
independent + PAV,15 Sept (highway),5.0,2205,0.20770975056689342,0.3934696042406942,1.8943241863553073,0.7159409892941861,0.14729599085595704,0.18734874832218743
independent + isotonic,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.11058595698238674,2.209690039519618,0.7295196456205852,0.01379772038148672,0.046409727023209876
independent + isotonic,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.18325993451431008,2.1930776778690517,0.7474536986060032,0.030295968411752576,0.07357157061904032
