learner,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier,auprc_ci_low,auprc_ci_high
LightGBM,1.0,8586,0.06790123456790123,0.17873028258428222,2.6322096162412474,0.7770385848017114,0.012199705898071754,0.05953539004423542,0.15873582153370142,0.2041342257206054
LightGBM,2.0,8586,0.12578616352201258,0.28455213559136133,2.2621894779513227,0.7602124473260897,0.016228524534907352,0.10077901853315926,0.25377666693156214,0.31962361687890145
LightGBM,3.0,8586,0.1762170976007454,0.3615070866968839,2.0514870101648683,0.7511442609313934,0.026256961052829583,0.13152874054260455,0.3231559350606634,0.40347416936463826
LightGBM,5.0,8586,0.2612392266480317,0.47468274761494306,1.8170423856539908,0.7412515149519422,0.044206199387211875,0.17121411553385468,0.4283469583426509,0.5242354894436885
MLP,0.5,8586,0.03715350570696482,0.10106128515545644,2.720100922710812,0.7627341854326584,0.014761232400354748,0.03512032396163933,0.08447361621516956,0.12485361166559611
MLP,1.0,8586,0.06790123456790123,0.17258851104122228,2.541758071698001,0.755318170780297,0.028301894129808065,0.06167697972868985,0.1524476706302367,0.20172994310222078
MLP,2.0,8586,0.12578616352201258,0.2795058743846084,2.2220717013576365,0.7430025115709901,0.036626804927605824,0.10327140227619573,0.24526090470201528,0.3203952432400695
MLP,3.0,8586,0.1762170976007454,0.3586185011476476,2.035094812196763,0.7356492564698481,0.04405695167422945,0.13400300540886909,0.31622131945717835,0.4102555394554803
MLP,5.0,8586,0.2612392266480317,0.4673528408531876,1.7889841692222332,0.7285393083419828,0.049100887716254094,0.17290612746580533,0.4187367090184824,0.5225121192089526
GRU,0.5,8586,0.03715350570696482,0.07546202647875606,2.0310876468545445,0.7160355046862682,0.01877462916681879,0.03722180914458029,0.06301990109270379,0.09799297335314264
GRU,1.0,8586,0.06790123456790123,0.13044643118516575,1.92112016836335,0.7098525874409446,0.032909191166616863,0.06671361597364522,0.11422843958897622,0.15282037369192764
GRU,2.0,8586,0.12578616352201258,0.23683780122107626,1.8828605197075563,0.712621877806397,0.0434614407996767,0.11126135011293466,0.20918479778096832,0.2714169735170167
GRU,3.0,8586,0.1762170976007454,0.3207750041872376,1.8203398453084085,0.7124401564685305,0.05021036428382968,0.14295869895237698,0.284915626196098,0.3594965673101746
GRU,5.0,8586,0.2612392266480317,0.4380216253866035,1.6767069440790805,0.707877412721091,0.055854574761060066,0.18318851750492074,0.3898795391325512,0.4851328896291731
TCN,0.5,8586,0.03715350570696482,0.10418752448053378,2.8042447811594458,0.7680556034814553,0.010923083350658232,0.034808941578576974,0.08839148659071944,0.12824165479920754
TCN,1.0,8586,0.06790123456790123,0.16661180170652906,2.453737443314337,0.7549514558112749,0.0216594700862721,0.06114429521747119,0.1461969648618349,0.19657782582878536
TCN,2.0,8586,0.12578616352201258,0.28138856819358793,2.237039117139024,0.7491116366166326,0.03129393036565996,0.10224813560852977,0.252023986272046,0.31528845856390475
TCN,3.0,8586,0.1762170976007454,0.36692138778052663,2.082212184721482,0.7455818366279183,0.04280789584900265,0.13195496561530423,0.3272074520246861,0.40895633338894477
TCN,5.0,8586,0.2612392266480317,0.4808932825193373,1.8408157484222158,0.7402533318048218,0.04939874311079937,0.16978848634794452,0.4331143854504774,0.5325924535094404
Transformer,0.5,8586,0.03715350570696482,0.08956914128009313,2.410785727369529,0.7404940821098956,0.011631404201624715,0.03515871935189912,0.07495115608915061,0.11115480700474921
Transformer,1.0,8586,0.06790123456790123,0.15235737111736375,2.2438085564557206,0.7276409425367717,0.022250688231521737,0.06118814529105718,0.13471295401238223,0.17948027016231535
Transformer,2.0,8586,0.12578616352201258,0.25642640538474165,2.038589922808696,0.7227700555604898,0.029771529100485323,0.10360450516934717,0.22829899018147243,0.29252027490727306
Transformer,3.0,8586,0.1762170976007454,0.3382085835069627,1.9192722392536563,0.7204398675356954,0.03615439016586302,0.13394257726497522,0.30160946764449625,0.384679758290706
Transformer,5.0,8586,0.2612392266480317,0.45315654475951106,1.7346420389233892,0.7144764987489938,0.04954678561156357,0.17465695340217977,0.4098678379679487,0.502541357514683
Dwell time only (LightGBM),0.5,8586,0.03715350570696482,0.06199491006932733,1.6686153537781958,0.6532383351414563,0.010279780943821017,0.035464058293154625,0.051650962082820114,0.07327457063794199
Dwell time only (LightGBM),1.0,8586,0.06790123456790123,0.10549654278053963,1.553676357313402,0.6367663584131937,0.014861765497844893,0.06250658407159243,0.09054681384636502,0.12017265610655041
Dwell time only (LightGBM),2.0,8586,0.12578616352201258,0.19043616999529106,1.513967551462564,0.638419387946433,0.023662108229154332,0.10730380068942028,0.16651921196184288,0.21594062276844053
Dwell time only (LightGBM),3.0,8586,0.1762170976007454,0.25832091358437065,1.4659242326737651,0.6362694902344533,0.03140797162827827,0.14076317631334107,0.22510226760102814,0.29523627793651464
Dwell time only (LightGBM),5.0,8586,0.2612392266480317,0.36703394472025325,1.4049725587909472,0.6363338314116003,0.03497974385307337,0.18528836534884194,0.3193588567219082,0.41516618273565925
History block only (LightGBM),0.5,8586,0.03715350570696482,0.06637732639965534,1.7865696691769304,0.6664517269060467,0.006922481147167418,0.035348848748831485,0.053890131152745754,0.08330480062935011
History block only (LightGBM),1.0,8586,0.06790123456790123,0.11378603670465562,1.6757579951049284,0.6523867872017975,0.014340017169183249,0.062274241861230865,0.09758292412563963,0.1339995556421333
History block only (LightGBM),2.0,8586,0.12578616352201258,0.2025726427709972,1.6104525100294278,0.6509151937709091,0.0177688674276859,0.10660134060964763,0.17511372611055376,0.23261314193736002
History block only (LightGBM),3.0,8586,0.1762170976007454,0.27702623867144927,1.572073552698654,0.6499170813223518,0.02168946565020685,0.13925168422418993,0.23441776423204316,0.31844728245661685
History block only (LightGBM),5.0,8586,0.2612392266480317,0.3966088460995406,1.5181825914447864,0.6486517621800097,0.030349333131443,0.18191494450114462,0.33898831821115005,0.4601659054391082
Hawkes-kernel intensity (LR),0.5,8586,0.03715350570696482,0.07012557587846714,1.8874551551489622,0.6685477213667818,0.008032000188762675,0.0353847075896677,0.05785870055448376,0.08512504779325829
Hawkes-kernel intensity (LR),1.0,8586,0.06790123456790123,0.12027218942292513,1.7712813351376246,0.6658981226808386,0.014386845071940602,0.06219297316577279,0.10327076542831974,0.13835026967718955
Hawkes-kernel intensity (LR),2.0,8586,0.12578616352201258,0.21042973871385534,1.67291642277515,0.6654359228666449,0.027199179970043137,0.10667971054430912,0.18542030564077433,0.23898754124109362
Hawkes-kernel intensity (LR),3.0,8586,0.1762170976007454,0.285272409780229,1.618869074932615,0.6658680053514249,0.034431076264132256,0.13919640511567943,0.24557658720329098,0.3268438908842451
Hawkes-kernel intensity (LR),5.0,8586,0.2612392266480317,0.40312908331510455,1.5431414664928613,0.6671652955164029,0.046822037954882406,0.1814811159010656,0.35240896309696795,0.46000256245943616
