arm,metric,horizon_s,difference,block_ci_low,block_ci_high,campaign_1,campaign_2,campaign_3,campaign_4,campaigns_favouring_hazard,n_campaigns,sign_consistent,min_attainable_p
independent + isotonic,auprc,1.0,-0.0007765649052785721,-0.011156261195820185,0.010670397976257026,0.00548843346600944,0.010552705783541477,0.013545197789921054,-0.00029460817345917933,3,4,False,0.125
independent + isotonic,auprc,2.0,0.0005127962816926732,-0.01062382275610052,0.010936004113979448,0.02239872864136727,0.012098362390376483,0.02139248312655051,-0.014129678143257218,3,4,False,0.125
independent + isotonic,auprc,3.0,0.004794651580696761,-0.011253555025859483,0.020977899211946097,0.023824462413719827,0.014658579590275833,0.02081475142394723,-0.006822838289593236,3,4,False,0.125
independent + isotonic,auprc,5.0,0.005272098687507351,-0.00988661083121815,0.0217423398693108,0.03867358740307353,-0.003965612874252011,0.011532867623756882,-0.013111611686510094,2,4,False,0.125
independent + isotonic,ece,0.5,0.008839361082531381,0.0029406850034294353,0.016122997982682852,0.015682547621639502,0.004392164491884575,0.02004676842213056,-0.016843382974998287,1,4,False,0.125
independent + isotonic,ece,1.0,0.018299704528737182,0.007878938711823043,0.027464960274266433,0.013436467822650032,0.007077337574010158,0.031314317288664524,-0.017878738429985414,1,4,False,0.125
independent + isotonic,ece,2.0,0.029621960993742053,0.008475178249016202,0.04951718595651559,0.04060470339456625,0.030928745705765148,0.04917539928633144,-0.020212057900374364,1,4,False,0.125
independent + isotonic,ece,3.0,0.03889078496452655,0.01728452550041808,0.05835763750139104,0.033018663319307334,0.024054385628714432,0.05882854196334878,-0.005902322057123488,1,4,False,0.125
independent + isotonic,ece,5.0,0.046758168914024,0.02062283419970533,0.07098050528542192,0.03746165831078989,0.04549952286203975,0.06548844198858067,-0.003590882142248397,1,4,False,0.125
independent + isotonic + PAV,auprc,0.5,0.0055531841956479805,-0.004448224291354358,0.018577025874860452,0.009418331204939151,0.005843466572611977,0.027560860699738565,0.0043272060885567315,4,4,True,0.125
independent + isotonic + PAV,auprc,1.0,-0.000644706847811306,-0.010788548149765093,0.010062081213720464,0.005402237529244347,-0.007862535640655866,0.01412873059629055,-0.0004822704767050573,2,4,False,0.125
independent + isotonic + PAV,auprc,2.0,8.171099134169098e-05,-0.011433248522598324,0.010088324319736905,0.020207706346087206,0.013692926963084384,0.017900687433827556,-0.013679273773306716,3,4,False,0.125
independent + isotonic + PAV,auprc,3.0,0.0029929625285084987,-0.011602958625343565,0.017994640447348376,0.02202763601130331,0.012091280216586064,0.017458976135839188,-0.008028025641521663,3,4,False,0.125
independent + isotonic + PAV,auprc,5.0,0.0031059300895218576,-0.011590896299011753,0.0188650879037667,0.03280826923983615,-0.008718217251432736,0.012780475997159368,-0.010627860396154876,2,4,False,0.125
