variant,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
rf+mobility+history+signalling,2,0.5,8586,0.03715350570696482,0.09615611403382153,2.5880764736501307,0.7654056066856441,0.02025589721836479,0.0355163893093431
rf+mobility+history+signalling,2,1.0,8586,0.06790123456790123,0.17084373800734487,2.5160623233808974,0.769706857355593,0.03337908560732277,0.06199091412689673
rf+mobility+history+signalling,2,2.0,8586,0.12578616352201258,0.26741981513394086,2.1259875303148297,0.7496391775468513,0.061252825746107034,0.10821227195756962
rf+mobility+history+signalling,2,3.0,8586,0.1762170976007454,0.3359125976858592,1.9062429370329061,0.7357599891379196,0.07905066302276989,0.14517939612982703
rf+mobility+history+signalling,2,5.0,8586,0.2612392266480317,0.4380261966380155,1.6767244424137322,0.7209180712443337,0.11316029516529194,0.19542070140533416
"main, NO lag (v1 alignment)",0,0.5,8590,0.037136204889406284,0.348913733305621,9.395514009703087,0.9077041094976633,0.015072138436994124,0.029559468954493365
"main, NO lag (v1 alignment)",0,1.0,8590,0.06786961583236321,0.6032615914390905,8.888536999076823,0.9108691558694033,0.016450769327812996,0.040568756108146475
"main, NO lag (v1 alignment)",0,2.0,8590,0.1258440046565774,0.51971335344043,4.1298221147579035,0.8380570512424869,0.03323901601649761,0.08429229860589758
"main, NO lag (v1 alignment)",0,3.0,8590,0.17625145518044238,0.5204436256485552,2.9528472551658447,0.8062647623499682,0.05611484503003469,0.11933304892397081
"main, NO lag (v1 alignment)",0,5.0,8590,0.2612339930151339,0.5638000676433305,2.1582186190090056,0.773268267854946,0.09276513433402082,0.16946482238779198
"main, NO lag (v1 alignment)",1,0.5,8590,0.037136204889406284,0.34415534757742944,9.267380676144574,0.9093778200753548,0.014699992171269712,0.029702819650048555
"main, NO lag (v1 alignment)",1,1.0,8590,0.06786961583236321,0.5937979815341592,8.749098904594215,0.9108706554149341,0.015773205335533485,0.04099874114743972
"main, NO lag (v1 alignment)",1,2.0,8590,0.1258440046565774,0.5177018026619342,4.1138376363237885,0.8391018659200078,0.03373312770878385,0.08469939715743394
"main, NO lag (v1 alignment)",1,3.0,8590,0.17625145518044238,0.5188305187823078,2.9436949513474397,0.8054555634130441,0.058232985276109796,0.12034883914155142
"main, NO lag (v1 alignment)",1,5.0,8590,0.2612339930151339,0.5589921012632899,2.1398137922690106,0.7696006804291782,0.09376592380135093,0.171756782467231
"main, NO lag (v1 alignment)",2,0.5,8590,0.037136204889406284,0.3420321783932091,9.210208189334377,0.9076010186287474,0.014706940803889172,0.02968172166020279
"main, NO lag (v1 alignment)",2,1.0,8590,0.06786961583236321,0.602401654263546,8.87586656968072,0.9108374511924708,0.015268232307005802,0.04047213761810845
"main, NO lag (v1 alignment)",2,2.0,8590,0.1258440046565774,0.5210282634405042,4.140270844545728,0.8372195733297656,0.03657713158565396,0.08475403481377146
"main, NO lag (v1 alignment)",2,3.0,8590,0.17625145518044238,0.5191473628010693,2.9454926330655122,0.8039460046164197,0.06266894932186143,0.12182872601522154
"main, NO lag (v1 alignment)",2,5.0,8590,0.2612339930151339,0.5561272038349068,2.1288470057673123,0.7689170631436255,0.10111908972725378,0.17402473571831276
"rf only, NO lag",0,0.5,8590,0.037136204889406284,0.3689664876765646,9.935492567842289,0.909579832697164,0.012087710195014964,0.02863996925375068
"rf only, NO lag",0,1.0,8590,0.06786961583236321,0.625659436389165,9.218549843195415,0.9115835822043361,0.012928724229834205,0.03874209967214444
"rf only, NO lag",0,2.0,8590,0.1258440046565774,0.5363591414500735,4.262095305324821,0.842359135118647,0.0333222041539614,0.08280450644235904
"rf only, NO lag",0,3.0,8590,0.17625145518044238,0.5318761888543967,3.0177123264592254,0.8108478116064648,0.05503733459534384,0.11824996915550166
"rf only, NO lag",0,5.0,8590,0.2612339930151339,0.5694550974039628,2.1798659922905705,0.7762948280191657,0.07773057731309195,0.16632551798529532
"rf only, NO lag",1,0.5,8590,0.037136204889406284,0.36531670261571375,9.837211521846337,0.9108957573180303,0.01161186238874182,0.028770261436918174
"rf only, NO lag",1,1.0,8590,0.06786961583236321,0.6250567289640503,9.209669471357104,0.9136253205546347,0.011761548414812948,0.03863646825286718
"rf only, NO lag",1,2.0,8590,0.1258440046565774,0.5399974521442836,4.2910065808690065,0.8438671620573966,0.032890859161600575,0.08247296909481748
"rf only, NO lag",1,3.0,8590,0.17625145518044238,0.5357450867653974,3.039663339045419,0.810921086628438,0.05653504816263405,0.11840405144936927
"rf only, NO lag",1,5.0,8590,0.2612339930151339,0.5704863023169957,2.183813429992421,0.7760229260027651,0.07788395986562971,0.16642078847147906
"rf only, NO lag",2,0.5,8590,0.037136204889406284,0.36264265996963896,9.765205169715356,0.9083673779557611,0.011300301882036318,0.02847519251562128
"rf only, NO lag",2,1.0,8590,0.06786961583236321,0.6285297491440017,9.260841415346441,0.9116026478546538,0.011229393434747268,0.038442195761394515
"rf only, NO lag",2,2.0,8590,0.1258440046565774,0.5406637922756378,4.296301550090406,0.8419203154179831,0.033755456003180605,0.08259205324359152
"rf only, NO lag",2,3.0,8590,0.17625145518044238,0.5364823368041812,3.0438462834530493,0.8094975909786406,0.057391906306200786,0.11847062858781165
