arm,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier,auprc_ci_low,auprc_ci_high,ece_ci_low,ece_ci_high
independent + isotonic,2.0,8586,0.12578616352201258,0.2601284495040207,2.0680211735569647,0.7318036311691388,0.02883195464095549,0.10361970688983037,0.23188801523111569,0.2920549092138547,0.0196690895339699,0.042368064120115914
independent + isotonic,3.0,8586,0.1762170976007454,0.33479973902650884,1.8999276664121647,0.7203775395275911,0.04195489297267502,0.1363849375733309,0.29978525237338377,0.37126596755803937,0.031767989167335,0.06073393778642461
independent + isotonic,5.0,8586,0.2612392266480317,0.44227689622706634,1.692995733841102,0.7036911444289446,0.06912648118594036,0.1818867512870934,0.39653787188515766,0.49309252365430567,0.04970024141767573,0.09504091834385812
independent + isotonic + PAV,0.5,8586,0.03715350570696482,0.08253076989617243,2.2213454242273873,0.7399359086415643,0.009336266534675605,0.035167665771020706,0.06916087053166463,0.10424246383989876,0.00664636907228344,0.01580284147041935
independent + isotonic + PAV,1.0,8586,0.06790123456790123,0.15805258834501262,2.327683573808368,0.7479686541217713,0.016424923132955307,0.06103961009408954,0.14081490240991137,0.1809783544428634,0.013294751829846109,0.02395656607569872
independent + isotonic + PAV,2.0,8586,0.12578616352201258,0.2604918564148156,2.070910258497784,0.7331888809939703,0.026320090503065236,0.10315642536128913,0.2326954281747759,0.2924769167701574,0.019399850180876966,0.040281260884160765
independent + isotonic + PAV,3.0,8586,0.1762170976007454,0.3362636353086876,1.9082350117385274,0.7217672111505649,0.041363247055162214,0.1359258926931275,0.3009754036844014,0.37407710627106816,0.029430025613747853,0.060428317978993465
independent + isotonic + PAV,5.0,8586,0.2612392266480317,0.44447775428260694,1.7014204183105053,0.7056324055872953,0.0706965769500948,0.18182735507734493,0.398452649866794,0.49397420939917297,0.050636718843596176,0.09695824311651688
hazard,0.5,8586,0.03715350570696482,0.08726204208246219,2.348689320752415,0.7398376974131011,0.02115727716367656,0.035788823418440044,0.06975495412307232,0.11633947971581578,0.017323125608156045,0.026822683633928698
hazard,1.0,8586,0.06790123456790123,0.157324960541392,2.3169676007005005,0.7432292221463265,0.03628172583728281,0.06260213126618472,0.14051356171476817,0.1812850258977312,0.030502947161561877,0.044230352463108184
hazard,2.0,8586,0.12578616352201258,0.2606348612262519,2.0720471467487025,0.7307738993989993,0.05839275518869563,0.10824963764292775,0.23352295336859935,0.29439975394877105,0.04811713046486004,0.07315530317332489
hazard,3.0,8586,0.1762170976007454,0.3391186122095355,1.924436486735672,0.7218320621814859,0.0821080923162636,0.1434499398962616,0.30473602398408434,0.3814366049682189,0.06754035652652841,0.10029387658898828
hazard,5.0,8586,0.2612392266480317,0.44782527933353766,1.7142344397493332,0.7098400411770317,0.11939896097083406,0.19356290117119665,0.40562491157493,0.4983012726400891,0.0974230324311251,0.14166889064719784
