learner,stratum,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
LightGBM,quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.0649442757527845,3.143530821086534,0.7637292713649408,0.008519255034367658,0.020050396816525193
LightGBM,quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.13307804509207746,3.085397700916317,0.7715853386809269,0.01624113494723558,0.03988496949830819
LightGBM,quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.2168911850321211,2.590488222959403,0.7489340169324347,0.023518950461373575,0.07306147715467216
LightGBM,quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.2817874207071063,2.3035599814249075,0.7405373161722532,0.032870887870502304,0.10185881959194683
LightGBM,quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.38325064329583114,1.9857061499590574,0.7322421240520449,0.04763494892621081,0.14546839452786023
LightGBM,in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.13087706689001086,1.9586870303344066,0.7134457289386027,0.016130526381930035,0.06052324590188932
LightGBM,in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.21179030723649792,1.8833990220335524,0.7203255148041109,0.019760283267260585,0.09487796519822057
LightGBM,in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.3307298252720794,1.6418755727099346,0.7059883759328975,0.03013965068637835,0.15063084165131174
LightGBM,in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.41856240493392893,1.5323979216435488,0.6981575821141518,0.04126758099996326,0.18489204686780963
LightGBM,in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.5447145834263659,1.4186624295009258,0.6899529289172752,0.053879685145725734,0.21751948988557487
MLP,quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.07305073960849527,3.5359121154357624,0.7772247977456596,0.01679434658032334,0.020417857062545834
MLP,quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.12111363754379739,2.808004420028042,0.7510058568882099,0.029087096176095478,0.041815457052684676
MLP,quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.19097911549555116,2.281001643516128,0.7263022117650282,0.04324214741004514,0.07671422857719193
MLP,quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.2577039195911704,2.1066818197097454,0.7177464228630861,0.05292882531553264,0.10590565598003847
MLP,quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.3602281273687006,1.8664214148549199,0.7101568916455541,0.06087681974517475,0.1485064323718175
MLP,in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.12546532142840747,1.8776956397188007,0.6713544550744145,0.020211499139039885,0.061563678703881144
MLP,in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.2140216092543243,1.9032414411370058,0.6894356714408127,0.030957915327104284,0.0973992359627826
MLP,in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.35008566160605203,1.7379657116624072,0.6923347202958854,0.03166135339046893,0.15103622772310024
MLP,in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.43856630123292545,1.6056341434160086,0.6879073600393849,0.04368655203943839,0.18453793831248294
MLP,in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.55477228620274,1.4448568540492415,0.6852889391938628,0.05668860857536555,0.2167905855911721
GRU,quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.045130436879715956,2.1844714973883566,0.7067068578181204,0.02171303802632877,0.02294626628635952
GRU,quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.08819591814321,2.044811245017785,0.6962431563534504,0.03605826335338142,0.047230656318690556
GRU,quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.16534647879159245,1.974852532406942,0.6943877917968109,0.046120212978105174,0.08419224217257262
GRU,quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.23133964320114475,1.8911587424946916,0.6936061975665527,0.05167680287816265,0.11451338016618245
GRU,quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.33850987546093475,1.7538943594304581,0.6886669218093199,0.05863354366528782,0.15820094013265137
GRU,in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.10704786092813194,1.6020626211097992,0.6366083674808107,0.02549538461864642,0.0628973128902329
GRU,in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.1716618999356317,1.5265469826159943,0.6452836013135554,0.039095109938176394,0.10175500168943395
GRU,in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.3036012002324548,1.507198191445261,0.6519787332408692,0.057296209163584945,0.15994692299915295
GRU,in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.4042636865905662,1.4800489146299012,0.6556423044404251,0.06537239946447625,0.19411947765583906
GRU,in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.5283156854606321,1.3759529057667397,0.6527524007150494,0.0735276955423123,0.22813032061449776
TCN,quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.07488827687229374,3.6248553665027794,0.7834206630566053,0.01061160882429266,0.020077088990831576
TCN,quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.11216859886408642,2.6006148257648274,0.754424497071556,0.01958440366078794,0.041473216483639636
TCN,quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.19279617525879225,2.302704101900467,0.7416626424735602,0.03147375327284617,0.075459864532361
TCN,quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.261697719482946,2.139330394232439,0.7365599834813132,0.04370901766672533,0.10381668416206917
TCN,quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.3662407113662344,1.8975739392665552,0.7307644052803987,0.0497176371810948,0.14507114299170268
TCN,in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.12516255437049684,1.8731644722374845,0.677270132813099,0.018260958964334578,0.06130514841664055
TCN,in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.20814796389270135,1.8510085600661093,0.6921825352472497,0.027372701945951428,0.09652402548255676
TCN,in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.34975287265739063,1.7363136137748778,0.6938356119146688,0.035341332012909704,0.15042860490393373
TCN,in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.4502410726219269,1.6483766238712074,0.6940922760790693,0.050524514364398386,0.18256351745981234
TCN,in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.5754349168077012,1.4986709038760844,0.6916680141213248,0.06139185411393358,0.21424425578723474
Transformer,quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.05415147037500756,2.6211211713095763,0.7324512706637059,0.013056116413347125,0.020484222776400805
Transformer,quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.10041609228327956,2.328134442097213,0.7017371721415839,0.02118228934907792,0.04114683920710511
Transformer,quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.17753031533066665,2.1203729004212524,0.7029533296345004,0.0334267411396759,0.07532184003405457
Transformer,quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.239961962699271,1.9616446076660405,0.6993412408898678,0.039965155221304914,0.1040266484349828
