horizon_s,alpha,test,calib,n_calib_units,floor_1_over_n_plus_1,feasible,threshold,alarm_rate,realised_miss_rate_rows,mean_unit_loss,units_with_loss_le_alpha,n_events_test,feasible_events,threshold_events,alarm_rate_events,realised_miss_rate_events,mean_unit_loss_events,unresolvable_event_share,unresolvable_event_share_calib
3.0,0.1,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.025,0.763544536271809,0.049783549783549784,0.06419933758567561,0.8666666666666667,288,False,-inf,,,,0.12152777777777778,0.0903954802259887
3.0,0.15,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.057,0.6377410468319559,0.15151515151515152,0.15755320329578,0.4666666666666667,288,True,0.025,0.763544536271809,0.13541666666666666,0.12713654239397948,0.12152777777777778,0.0903954802259887
3.0,0.2,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.123,0.48484848484848486,0.2619047619047619,0.2689621753655054,0.3333333333333333,288,True,0.123,0.48484848484848486,0.25,0.2618621678232662,0.12152777777777778,0.0903954802259887
3.0,0.3,10 Sept (urban arterial),15 Sept (highway),14,0.06666666666666667,True,0.243,0.35215794306703396,0.3852813852813853,0.382653647978091,0.26666666666666666,288,True,0.248,0.349862258953168,0.3402777777777778,0.35068359794904425,0.12152777777777778,0.0903954802259887
1.0,0.05,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,False,-inf,1.0,0.0,0.0,1.0,174,False,-inf,,,,0.46551724137931033,0.33797909407665505
1.0,0.1,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.003,0.7931034482758621,0.0,0.0,1.0,174,False,-inf,,,,0.46551724137931033,0.33797909407665505
1.0,0.15,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.007,0.6454465075154731,0.011111111111111112,0.013888888888888888,1.0,174,False,-inf,,,,0.46551724137931033,0.33797909407665505
1.0,0.2,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.012,0.5234305923961097,0.12222222222222222,0.14027777777777778,0.75,174,False,-inf,,,,0.46551724137931033,0.33797909407665505
1.0,0.3,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.024,0.3819628647214854,0.17777777777777778,0.1867979242979243,0.875,174,False,-inf,,,,0.46551724137931033,0.33797909407665505
3.0,0.05,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,False,-inf,1.0,0.0,0.0,1.0,174,False,-inf,,,,0.16666666666666666,0.12152777777777778
3.0,0.1,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.016,0.8205128205128205,0.022123893805309734,0.025838206627680313,1.0,174,False,-inf,,,,0.16666666666666666,0.12152777777777778
3.0,0.15,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.033,0.6905393457117595,0.06637168141592921,0.07337127541074909,0.875,174,True,0.008,0.8947833775419982,0.16666666666666666,0.14059327347880682,0.16666666666666666,0.12152777777777778
3.0,0.2,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.05,0.6091954022988506,0.10176991150442478,0.10999495265942635,0.875,174,True,0.039,0.6595932802829354,0.19540229885057472,0.18016671154968733,0.16666666666666666,0.12152777777777778
3.0,0.3,12 Sept (urban loop),10 Sept (urban arterial),15,0.0625,True,0.097,0.4535809018567639,0.22123893805309736,0.23061333890281258,0.75,174,True,0.096,0.45446507515473034,0.2471264367816092,0.24236719612882635,0.16666666666666666,0.12152777777777778
1.0,0.05,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.0,1.0,0.0,0.0,1.0,174,False,-inf,,,,0.46551724137931033,0.30976430976430974
1.0,0.1,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.001,0.8735632183908046,0.0,0.0,1.0,174,False,-inf,,,,0.46551724137931033,0.30976430976430974
1.0,0.15,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.002,0.7391688770999116,0.05555555555555555,0.06388888888888888,0.875,174,False,-inf,,,,0.46551724137931033,0.30976430976430974
1.0,0.2,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.004,0.6286472148541115,0.07777777777777778,0.08888888888888888,0.875,174,False,-inf,,,,0.46551724137931033,0.30976430976430974
1.0,0.3,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.006,0.5526083112290009,0.1,0.1138888888888889,0.875,174,True,0.001,0.8735632183908046,0.46551724137931033,0.4010977398205659,0.46551724137931033,0.30976430976430974
3.0,0.05,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.001,0.9893899204244032,0.0,0.0,1.0,174,False,-inf,,,,0.16666666666666666,0.10101010101010101
3.0,0.1,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.005,0.8514588859416445,0.02654867256637168,0.027486772486772486,0.875,174,False,-inf,,,,0.16666666666666666,0.10101010101010101
3.0,0.15,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.01,0.7612732095490716,0.07964601769911504,0.08316468253968254,0.875,174,True,0.008,0.7939876215738285,0.19540229885057472,0.17928374966928298,0.16666666666666666,0.10101010101010101
3.0,0.2,12 Sept (urban loop),13 Sept (dense urban),20,0.047619047619047616,True,0.015,0.7046861184792219,0.10176991150442478,0.10635251322751323,0.875,174,True,0.017,0.6870026525198939,0.21839080459770116,0.2099286163115921,0.16666666666666666,0.10101010101010101
