arm,learner,columns_lagged,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
serving,LightGBM,56,0,2.0,8586,0.12578616352201258,0.27018121352731944,2.1479406475421894,0.7479237597576259,0.05518860399975773,0.10786993378017115
serving,LightGBM,56,0,3.0,8586,0.1762170976007454,0.3466409143175818,1.9671241839595226,0.737336691507851,0.07643605049420346,0.14262305067520736
serving,LightGBM,56,0,5.0,8586,0.2612392266480317,0.4495353806092083,1.7207805518995374,0.7239891985499196,0.10747640995496496,0.19057363133215996
serving,LightGBM,56,1,0.5,8586,0.03715350570696482,0.10774433027827553,2.8999774914397296,0.7707033251136728,0.018888332955469746,0.03515338419228619
serving,LightGBM,56,1,1.0,8586,0.06790123456790123,0.18080740573833814,2.662799975419162,0.7718175581241082,0.03220633413232779,0.06126121895844929
serving,LightGBM,56,1,2.0,8586,0.12578616352201258,0.2752095537079696,2.1879159519783586,0.7527855493383071,0.0521866854083498,0.10592475358786065
serving,LightGBM,56,1,3.0,8586,0.1762170976007454,0.35107724812956237,1.992299572002923,0.7429119178159893,0.07032462580850335,0.13971845761578
serving,LightGBM,56,1,5.0,8586,0.2612392266480317,0.4587461690762541,1.7560386124336682,0.7294427795367922,0.10538830445371986,0.18681214947161917
serving,LightGBM,56,2,0.5,8586,0.03715350570696482,0.0989218773911485,2.6625179914746115,0.7603293375140728,0.01941851277010765,0.03553931157521389
serving,LightGBM,56,2,1.0,8586,0.06790123456790123,0.1728746955169154,2.545972788521845,0.7669073068439816,0.03378012738367428,0.06212641182014342
serving,LightGBM,56,2,2.0,8586,0.12578616352201258,0.26336233737330306,2.093730582117759,0.7497180033750778,0.05445732587163769,0.10850373131272234
serving,LightGBM,56,2,3.0,8586,0.1762170976007454,0.3372965181510043,1.9140964341338553,0.7398285035979707,0.07643420733676401,0.1437386597264968
serving,LightGBM,56,2,5.0,8586,0.2612392266480317,0.44404732246669065,1.6997727644667882,0.7271975263979256,0.10913740082013956,0.1914042962391955
serving,Event A3 rule (deployed parameters),56,0,0.5,8586,0.03715350570696482,0.06212529080975639,1.6721245984093052,0.6731754041164535,0.3560963205277514,0.32595976006327015
serving,Event A3 rule (deployed parameters),56,0,1.0,8586,0.06790123456790123,0.1168249856763512,1.7205134254153542,0.6823762915664774,0.3414212681168499,0.3177620328691608
serving,Event A3 rule (deployed parameters),56,0,2.0,8586,0.12578616352201258,0.2157122267816471,1.7149122029140944,0.6936226327579911,0.3168463787620863,0.30242966703445423
serving,Event A3 rule (deployed parameters),56,0,3.0,8586,0.1762170976007454,0.28778838231678383,1.6331467617791844,0.6911146798905456,0.300424296302268,0.2952837345519441
serving,Event A3 rule (deployed parameters),56,0,5.0,8586,0.2612392266480317,0.3917984059285778,1.4997686639780512,0.6804707609267192,0.28301846754640125,0.29529945828363746
assignment,LightGBM,92,0,0.5,8586,0.03715350570696482,0.08519277924560385,2.292994365525877,0.7419278143678856,0.021525177530942997,0.03586866890007362
assignment,LightGBM,92,0,1.0,8586,0.06790123456790123,0.15765774009624065,2.321868535962817,0.7443934510836309,0.03222253820499801,0.06272178410054416
