learner,held_out_capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
MLP,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.4066635388985369,1.9171281119502452,0.7442191646737102,0.025387949816228602,0.1480144535727683
MLP,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5437672142696884,1.7416544009990902,0.7514038325610618,0.0378472160030587,0.18051653882184332
MLP,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.12377468589973957,2.9164410365126137,0.8002654662973223,0.015261681547568441,0.03907261483838036
MLP,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.23726324580552358,2.981608122289413,0.7911303234069806,0.024062017044053814,0.06750528956184558
MLP,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.3725555364480564,2.553698858925768,0.7812848986762031,0.043471632382766974,0.10937103438129325
MLP,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.4559438776156308,2.281736838864064,0.7709138023761796,0.05620442416441019,0.1382511647198793
MLP,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5632481831304177,1.9783655127965913,0.7620787875530715,0.06367779864765953,0.17128848805334412
MLP,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.12635272347946738,3.4350050135302994,0.7905086327299045,0.012270118517870611,0.03405325130142951
MLP,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.18620224086423182,2.874438612738292,0.7687410249996939,0.02224609022492871,0.058136168231926355
MLP,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.2879912269464451,2.3846605099177336,0.755397571629156,0.03353389644553763,0.09854340539548385
MLP,13 Sept (dense urban),3.0,3072,0.1708984375,0.3634633971522639,2.126780106765247,0.7471714622244658,0.04006450569512286,0.1298412212799176
MLP,13 Sept (dense urban),5.0,3072,0.2548828125,0.45138071394793433,1.7709342953359568,0.727519643896318,0.060349893175685204,0.17431822864002985
MLP,15 Sept (highway),0.5,2205,0.022222222222222223,0.04084650583259476,1.8380927624667642,0.6949850441104085,0.03039071877079569,0.023677441685542942
MLP,15 Sept (highway),1.0,2205,0.050793650793650794,0.0953148047157751,1.8765102178418223,0.7048239028052693,0.045926844102900065,0.05183213403679266
MLP,15 Sept (highway),2.0,2205,0.09523809523809523,0.16863137245070048,1.770629410732355,0.683625730994152,0.06742420334488307,0.09203879395574016
MLP,15 Sept (highway),3.0,2205,0.1360544217687075,0.24364422718745787,1.7907850698278152,0.6855415573053368,0.08777896225829204,0.12378232448479366
MLP,15 Sept (highway),5.0,2205,0.20770975056689342,0.35616784491681575,1.7147382053309579,0.6930058515783765,0.09423642428310997,0.16425129727751756
GRU,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.10146934655628796,2.027525108253167,0.7116942546370405,0.02886980271208056,0.05087481768702697
GRU,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.15672010348290857,1.8754746449767852,0.7069716355788499,0.054383473583124516,0.0850728789097868
GRU,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.2790509778844137,1.8196797300366856,0.7117760141322561,0.07784022489818622,0.13517214259484012
GRU,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.3703560814206034,1.7459643838399874,0.7107715516806425,0.08677621441658098,0.16787547487135265
GRU,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5018958392857639,1.6075428499476376,0.7107800596874263,0.09430303545694377,0.20341499802999835
GRU,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.08106077135837196,1.9099944251316394,0.7344375192366882,0.032813805167807825,0.041895785820072494
GRU,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.14950326460070368,1.8787576918155096,0.7261180488846195,0.040217382416695646,0.07510057421893303
GRU,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.2753251089954918,1.88722847438728,0.7375243114373548,0.05678231959282529,0.12052018715520223
GRU,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.37425911211455837,1.8729515743432101,0.7388940497726496,0.0617769511442356,0.14805788851996926
GRU,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5204444763415731,1.8280208159699354,0.7436179932283551,0.07786858152085407,0.1779327759851757
