protocol,learner,horizon_s,auprc,lift,auroc,ece
blocked_purged,mlp,0.5,0.08998401460305479,2.4219521924195253,0.7395219552654807,0.01801623090100847
blocked_purged,mlp,1.0,0.1472015621070002,2.167877551030367,0.7259377504733608,0.03714490879326896
blocked_purged,mlp,2.0,0.2549852156789319,2.0271324646475084,0.722714092100805,0.045572769129444135
blocked_purged,mlp,3.0,0.33872280233257296,1.9221903376255594,0.7212399928271397,0.05466301857656025
blocked_purged,mlp,5.0,0.45577411904822757,1.7446618752332064,0.7201669123320164,0.06553722426065389
blocked_purged,tcn,0.5,0.09693050144006053,2.6089193898569274,0.756781599083564,0.01249395709353784
blocked_purged,tcn,1.0,0.15147230868101474,2.230774000574945,0.7406305504218079,0.024683119740876013
blocked_purged,tcn,2.0,0.26093091796682644,2.07440079783627,0.7327457478461674,0.034457945678580085
blocked_purged,tcn,3.0,0.34322863450998836,1.9477601162609122,0.7298590359118658,0.048443844104990544
blocked_purged,tcn,5.0,0.45768741574504845,1.751985800975027,0.7270255688533401,0.05538815039175528
blocked_purged,transformer,0.5,0.0917876071429066,2.4704965358275737,0.747055179921833,0.015660742710388097
blocked_purged,transformer,1.0,0.14530242383445707,2.1399084237438224,0.722902314290803,0.02434447675686518
blocked_purged,transformer,2.0,0.2558122285644573,2.0337072170874353,0.7248188794643298,0.034065777563893264
blocked_purged,transformer,3.0,0.33425219338282064,1.8968204444050882,0.7199258717207362,0.04206867193928582
blocked_purged,transformer,5.0,0.44763097328032164,1.7134906538496844,0.7133287972341158,0.055460939933141294
chunk_grouped,a3,0.5,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674
chunk_grouped,a3,1.0,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183
chunk_grouped,a3,2.0,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075
chunk_grouped,a3,3.0,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504
chunk_grouped,a3,5.0,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989
chunk_grouped,gru,0.5,0.07572858556904208,2.038262180864562,0.7294178273476939,0.022231856079443668
