protocol,learner,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
random_row,gru,0,5.0,8590,0.2612339930151339,0.6176221573847124,2.364248811022584,0.8102705368885084,0.042384950655303275,0.14664031126957394
random_row,gru,1,0.5,8590,0.037136204889406284,0.22634477139988635,6.094989298824526,0.8669769626018922,0.013398000372441462,0.031964269839241805
random_row,gru,1,1.0,8590,0.06786961583236321,0.38044583626466166,5.605539851652562,0.8685199549879274,0.025204952354342336,0.05166357188495596
random_row,gru,1,2.0,8590,0.1258440046565774,0.4255606213470871,3.38165193096344,0.8311235274993473,0.033836088344298645,0.09001529929857464
random_row,gru,1,3.0,8590,0.17625145518044238,0.4938909843473572,2.8021952150223237,0.8177723945269066,0.041306611073308554,0.11609096462136624
random_row,gru,1,5.0,8590,0.2612339930151339,0.5891706410168951,2.2553368120923034,0.8053504586661184,0.04541968125958383,0.14981756638599295
chunk_grouped,lgbm,0,0.5,8590,0.037136204889406284,0.3896608567696013,10.49274846285541,0.922562459990699,0.012950726454073844,0.028333968098205153
chunk_grouped,lgbm,0,1.0,8590,0.06786961583236321,0.6473229203706354,9.537742514551901,0.9219527253276025,0.014738510628350765,0.037882093008122696
chunk_grouped,lgbm,0,2.0,8590,0.1258440046565774,0.5587265264729117,4.439834285293535,0.8558790197985052,0.028558948273558968,0.08022554390558208
chunk_grouped,lgbm,0,3.0,8590,0.17625145518044238,0.5654906638317231,3.2084311772222596,0.8272656636794106,0.04167613980696104,0.11147292912685385
chunk_grouped,lgbm,0,5.0,8590,0.2612339930151339,0.6075124723602559,2.325549080915596,0.7950660738753283,0.0685586335014697,0.1562328441148457
chunk_grouped,lgbm,1,0.5,8590,0.037136204889406284,0.3997290350517263,10.763863357662474,0.9200318065651449,0.013159366630709643,0.028167440555295832
chunk_grouped,lgbm,1,1.0,8590,0.06786961583236321,0.6443597055730329,9.494082111273332,0.9189733425791026,0.014935397963217021,0.03796921486942369
chunk_grouped,lgbm,1,2.0,8590,0.1258440046565774,0.558531658694802,4.438285798509112,0.8545499948319802,0.02855044044554722,0.08025034102491505
chunk_grouped,lgbm,1,3.0,8590,0.17625145518044238,0.5653948806199574,3.2078877308622413,0.8266019880026855,0.041058705335226875,0.11163395077082004
chunk_grouped,lgbm,1,5.0,8590,0.2612339930151339,0.6072997813571023,2.324734902788551,0.7951503410291716,0.07032365376812917,0.15637417401117706
chunk_grouped,lgbm,2,0.5,8590,0.037136204889406284,0.3932437555259808,10.589228401154154,0.9218696287098973,0.01313877664602829,0.028215644338153722
chunk_grouped,lgbm,2,1.0,8590,0.06786961583236321,0.6512090299458149,9.595000972958061,0.921014438267031,0.015094163388521358,0.03757043590666678
chunk_grouped,lgbm,2,2.0,8590,0.1258440046565774,0.5652280453328826,4.491497603524016,0.8572846718997333,0.027328737461330847,0.07939371845650993
chunk_grouped,lgbm,2,3.0,8590,0.17625145518044238,0.5678856336050504,3.2220195460154444,0.8290139963692927,0.04329331863373194,0.1108604058779409
chunk_grouped,lgbm,2,5.0,8590,0.2612339930151339,0.6114076703746434,2.340459843368176,0.7981931577318202,0.06690258311365685,0.15457204982806153
chunk_grouped,lr,0,0.5,8590,0.037136204889406284,0.26182880254035285,7.050499729848373,0.8857836554733483,0.011111251619500748,0.031076624663663757
chunk_grouped,lr,0,1.0,8590,0.06786961583236321,0.4452099393102202,6.559782810762935,0.8842991370543913,0.02289006071569511,0.048373321093301704
chunk_grouped,lr,0,2.0,8590,0.1258440046565774,0.4615553206932964,3.667678265268655,0.8341898448349799,0.022801555975000488,0.08679645562310691
chunk_grouped,lr,0,3.0,8590,0.17625145518044238,0.499504503883904,2.8340447082977116,0.8116763794186239,0.028771172225996948,0.11575221475446534
chunk_grouped,lr,0,5.0,8590,0.2612339930151339,0.5664445754282852,2.1683417570984713,0.7867230638638287,0.0383921552784163,0.15515184178352598
chunk_grouped,lr,1,0.5,8590,0.037136204889406284,0.26182880254035285,7.050499729848373,0.8857836554733483,0.011111251619500748,0.031076624663663757
chunk_grouped,lr,1,1.0,8590,0.06786961583236321,0.4452099393102202,6.559782810762935,0.8842991370543913,0.02289006071569511,0.048373321093301704
chunk_grouped,lr,1,2.0,8590,0.1258440046565774,0.4615553206932964,3.667678265268655,0.8341898448349799,0.022801555975000488,0.08679645562310691
chunk_grouped,lr,1,3.0,8590,0.17625145518044238,0.499504503883904,2.8340447082977116,0.8116763794186239,0.028771172225996948,0.11575221475446534
chunk_grouped,lr,1,5.0,8590,0.2612339930151339,0.5664445754282852,2.1683417570984713,0.7867230638638287,0.0383921552784163,0.15515184178352598
chunk_grouped,lr,2,0.5,8590,0.037136204889406284,0.26182880254035285,7.050499729848373,0.8857836554733483,0.011111251619500748,0.031076624663663757
chunk_grouped,lr,2,1.0,8590,0.06786961583236321,0.4452099393102202,6.559782810762935,0.8842991370543913,0.02289006071569511,0.048373321093301704
chunk_grouped,lr,2,2.0,8590,0.1258440046565774,0.4615553206932964,3.667678265268655,0.8341898448349799,0.022801555975000488,0.08679645562310691
chunk_grouped,lr,2,3.0,8590,0.17625145518044238,0.499504503883904,2.8340447082977116,0.8116763794186239,0.028771172225996948,0.11575221475446534
chunk_grouped,lr,2,5.0,8590,0.2612339930151339,0.5664445754282852,2.1683417570984713,0.7867230638638287,0.0383921552784163,0.15515184178352598
chunk_grouped,gru,0,0.5,8590,0.037136204889406284,0.22657274474514144,6.101128142196756,0.8648869089377889,0.018634568021239167,0.03259061884263154
chunk_grouped,gru,0,1.0,8590,0.06786961583236321,0.38178019240545497,5.625200433555503,0.8570322580092332,0.030028474955397795,0.053185839974196354
chunk_grouped,gru,0,2.0,8590,0.1258440046565774,0.402351216211151,3.1972219678573426,0.809693307901009,0.03812715011508973,0.0959294362658381
chunk_grouped,gru,0,3.0,8590,0.17625145518044238,0.4440171616757069,2.519225507790173,0.7904403446110282,0.04619828242639446,0.12686834163309768
chunk_grouped,gru,0,5.0,8590,0.2612339930151339,0.5332620527522183,2.041319533485541,0.7735641508988778,0.05642090533470802,0.16489618061228886
chunk_grouped,gru,1,0.5,8590,0.037136204889406284,0.17106448494623572,4.6064072905585105,0.8386845832532672,0.02135358505532128,0.0346154491676493
chunk_grouped,gru,1,1.0,8590,0.06786961583236321,0.27384042376140105,4.034801441012753,0.8331978386836046,0.03691308662139217,0.05850430955496291
