cap,lat,lon,pp
2,23.85351,90.36409,0
2,23.85365,90.36411,0
2,23.85379,90.36414,0
2,23.85387,90.36415,0
2,23.85417,90.36419,1
2,23.85432,90.36422,0
2,23.85455,90.36426,1
2,23.85462,90.36426,0
2,23.8547,90.36427,1
2,23.85517,90.36434,0
2,23.856,90.36446,0
2,23.85615,90.36449,0
2,23.85634,90.36453,1
2,23.85652,90.36456,1
2,23.85671,90.36458,1
2,23.85677,90.3646,1
2,23.85684,90.36461,1
2,23.85702,90.36464,1
2,23.85714,90.36465,1
2,23.8573,90.36468,1
2,23.8573,90.36468,0
2,23.85754,90.36472,0
2,23.85758,90.36472,0
2,23.85912,90.3649,0
2,23.85937,90.36488,0
2,23.85946,90.36487,0
2,23.85982,90.36478,1
2,23.85996,90.36481,0
2,23.86003,90.36483,0
2,23.86045,90.36489,0
2,23.8605,90.36489,0
2,23.86117,90.36525,0
2,23.86122,90.36527,1
2,23.86122,90.36527,0
2,23.86144,90.36532,0
2,23.86144,90.36532,0
2,23.86189,90.3654,1
2,23.86196,90.36541,1
2,23.86232,90.36546,1
2,23.86246,90.36548,1
2,23.86253,90.3655,0
2,23.86298,90.36556,0
2,23.8639,90.36571,1
2,23.86398,90.36573,1
2,23.86428,90.36578,1
2,23.86436,90.36579,1
2,23.8645,90.36581,1
2,23.86465,90.36582,0
2,23.86562,90.36601,1
2,23.86575,90.36604,0
2,23.86582,90.36607,0
2,23.86602,90.36615,1
2,23.86608,90.36619,1
2,23.86614,90.36622,1
2,23.86627,90.3663,0
2,23.8665,90.36646,0
2,23.86662,90.36654,1
2,23.86667,90.36658,1
2,23.86707,90.36681,0
2,23.86777,90.36714,0
2,23.86992,90.36758,1
2,23.87026,90.36761,0
2,23.87145,90.36792,1
2,23.87145,90.36792,0
2,23.87239,90.36817,0
2,23.86698,90.36703,0
2,23.86625,90.36659,0
2,23.86534,90.36621,1
2,23.86522,90.36619,0
2,23.86356,90.36585,0
2,23.86224,90.36561,0
2,23.86097,90.36547,0
2,23.86088,90.36546,1
2,23.86083,90.36545,1
2,23.86028,90.3653,1
2,23.86009,90.3653,1
2,23.85996,90.36529,0
2,23.85937,90.36514,1
2,23.85902,90.36511,0
2,23.8572,90.36485,0
2,23.85708,90.36483,1
2,23.85683,90.36479,1
2,23.8567,90.36477,0
2,23.84982,90.3637,1
2,23.84982,90.3637,0
2,23.84934,90.36361,1
2,23.84927,90.3636,0
2,23.84861,90.36352,1
2,23.84846,90.3635,1
2,23.84838,90.36349,1
2,23.84824,90.36347,1
2,23.84796,90.36344,0
2,23.84764,90.36339,0
2,23.8475,90.36336,0
2,23.84536,90.36319,0
2,23.84501,90.36318,1
2,23.84495,90.36318,0
2,23.84482,90.36319,0
2,23.83892,90.36414,0
2,23.83865,90.36406,0
2,23.83814,90.36391,0
2,23.83801,90.36387,0
2,23.83793,90.36384,1
2,23.83789,90.36382,1
2,23.83781,90.36379,1
2,23.83777,90.36377,0
2,23.83717,90.36363,1
2,23.83717,90.36363,0
2,23.83434,90.3638,0
2,23.83355,90.36382,1
2,23.83338,90.36382,0
2,23.83274,90.36386,1
2,23.83263,90.36386,0
2,23.83079,90.3639,0
2,23.83072,90.3639,1
2,23.83022,90.3639,0
2,23.83015,90.3639,1
2,23.82992,90.36392,0
2,23.82964,90.36394,1
2,23.82935,90.36399,0
3,23.75047,90.39514,0
3,23.75108,90.39669,0
3,23.75149,90.39737,0
3,23.75196,90.39818,0
3,23.75205,90.39833,0
3,23.75218,90.39857,0
3,23.75349,90.40033,1
3,23.7535,90.40033,0
3,23.75352,90.40032,0
3,23.75351,90.40034,0
3,23.75352,90.40037,0
3,23.75351,90.40038,0
3,23.75358,90.4004,0
3,23.7538,90.40104,0
3,23.75451,90.40197,0
3,23.75456,90.40201,0
3,23.75489,90.40205,0
3,23.75502,90.40207,0
3,23.75627,90.40272,0
3,23.75634,90.40281,0
3,23.75807,90.40362,1
3,23.75855,90.40411,0
3,23.75874,90.40438,0
3,23.75943,90.40526,0
3,23.75951,90.40538,1
3,23.75971,90.40571,0
3,23.75977,90.40581,0
3,23.76075,90.40721,0
3,23.76249,90.40897,0
3,23.76356,90.40985,0
3,23.76401,90.4102,0
3,23.76545,90.41104,0
3,23.76592,90.41086,1
3,23.76638,90.41041,0
3,23.76697,90.40964,0
3,23.76705,90.40955,0
3,23.76727,90.40929,1
3,23.76742,90.40913,0
3,23.76742,90.40913,0
3,23.76794,90.4087,0
3,23.76814,90.40866,0
3,23.7683,90.40871,0
3,23.7685,90.40883,0
3,23.76881,90.40928,0
3,23.76882,90.41021,1
3,23.76855,90.41081,0
3,23.76848,90.4112,0
3,23.76848,90.41133,0
3,23.76849,90.41157,0
3,23.76849,90.41157,0
3,23.76878,90.41223,0
3,23.76954,90.41264,0
3,23.76978,90.41272,0
3,23.77003,90.41278,0
3,23.77104,90.41285,1
3,23.77111,90.41286,1
3,23.77116,90.41287,0
3,23.77123,90.41289,1
3,23.77132,90.41294,0
3,23.77217,90.41446,1
3,23.77251,90.41525,0
3,23.77255,90.41535,0
3,23.77262,90.4156,0
3,23.77257,90.41595,1
3,23.77256,90.41605,1
3,23.77255,90.41615,0
3,23.7727,90.41663,1
3,23.77276,90.41671,0
3,23.77281,90.41679,1
3,23.77285,90.41687,0
3,23.77295,90.41713,1
3,23.77298,90.41752,0
3,23.77283,90.41794,1
3,23.77278,90.41801,0
3,23.77266,90.41811,1
3,23.77244,90.41823,0
3,23.77229,90.4183,0
3,23.77206,90.41841,0
3,23.77171,90.41854,0
3,23.77155,90.41861,0
3,23.77133,90.4188,0
3,23.7708,90.41994,0
3,23.77076,90.42039,1
3,23.77079,90.42063,1
3,23.77083,90.42082,1
3,23.77085,90.42089,1
3,23.77089,90.421,1
3,23.77102,90.42114,0
3,23.77121,90.42197,0
3,23.77087,90.42231,0
3,23.76931,90.42275,0
3,23.76808,90.42194,1
3,23.76811,90.42168,0
3,23.76812,90.42145,0
3,23.76845,90.41838,0
3,23.76851,90.4177,1
3,23.76854,90.41758,0
3,23.76856,90.41745,0
3,23.76831,90.41541,0
3,23.76824,90.41529,0
3,23.76767,90.41449,1
3,23.76759,90.41439,0
3,23.76706,90.41382,0
3,23.76675,90.41349,0
3,23.76641,90.41314,0
3,23.76568,90.41245,0
3,23.76558,90.41238,0
3,23.76538,90.41224,0
3,23.765,90.412,0
3,23.7649,90.41194,1
3,23.76438,90.41175,0
3,23.76387,90.41159,0
3,23.76339,90.41141,0
3,23.76316,90.41136,1
3,23.76272,90.41122,0
3,23.76185,90.41074,0
3,23.75854,90.40895,0
3,23.75476,90.40412,0
3,23.75451,90.40408,0
3,23.754,90.40392,1
3,23.75395,90.40385,0
3,23.7552,90.40205,0
3,23.75527,90.40207,1
3,23.75558,90.40215,0
3,23.75575,90.40221,0
3,23.75909,90.4048,0
3,23.75942,90.40519,0
3,23.75952,90.40538,1
3,23.75964,90.40557,0
3,23.75976,90.40575,0
3,23.76074,90.40716,0
3,23.76687,90.40955,0
3,23.76695,90.4094,1
3,23.76706,90.40928,0
3,23.76706,90.40928,0
3,23.76719,90.40918,0
3,23.76867,90.40876,0
3,23.76892,90.4091,1
3,23.76896,90.40921,1
3,23.76899,90.40932,0
3,23.76903,90.40964,0
3,23.76865,90.41115,0
3,23.76868,90.41156,0
3,23.77072,90.41276,0
3,23.77251,90.41428,0
3,23.77281,90.41495,0
3,23.77311,90.41548,0
3,23.77328,90.41566,1
3,23.77345,90.41582,0
3,23.77385,90.41601,0
3,23.77962,90.41669,0
3,23.77961,90.41669,1
3,23.77962,90.41666,1
3,23.77961,90.41666,1
3,23.77961,90.41666,1
3,23.77961,90.41665,0
3,23.77964,90.41665,1
3,23.77967,90.41663,1
3,23.77967,90.41663,1
3,23.77966,90.41662,1
3,23.77967,90.41662,1
