cap,did,lat,lon,serving_rsrp,speed_kmh
1,2,23.87048,90.40068,-91.0,0.0
1,2,23.87048,90.40069,-91.5,2.0
1,2,23.87047,90.40069,-92.0,2.0
1,2,23.87045,90.40069,-93.0,9.0
1,2,23.870415,90.40069,-93.5,11.5
1,2,23.87038,90.40069,-94.0,14.0
1,2,23.87035,90.40068,-94.0,14.0
1,2,23.87031,90.40067,-94.0,16.0
1,2,23.87028,90.40066,-92.0,13.0
1,2,23.87026,90.40065,-91.5,13.0
1,2,23.87025,90.40064,-91.0,8.0
1,2,23.87025,90.40064,-88.0,4.0
1,2,23.87025,90.40063,-87.0,2.0
1,2,23.87024,90.40062,-84.0,2.0
1,2,23.87024,90.40062,-83.0,4.0
1,2,23.87023,90.40061,-88.0,5.0
1,2,23.87022,90.40061,-79.0,5.0
1,2,23.87022,90.40061,-80.0,4.0
1,2,23.8702,90.40059,-82.0,5.0
1,2,23.8702,90.40059,-84.0,4.0
1,2,23.87018,90.40058,-84.0,4.0
1,2,23.87017,90.40058,-86.0,6.0
1,2,23.87015,90.40058,-84.0,7.0
1,2,23.87015,90.40058,-82.0,5.0
1,2,23.87015,90.40058,-86.0,1.0
1,2,23.87015,90.40057,-85.0,1.0
1,2,23.87015,90.40057,-85.0,0.0
1,2,23.87015,90.40057,-88.0,0.0
1,2,23.87015,90.40056,-86.0,1.0
1,2,23.87015,90.40055,-86.0,3.0
1,2,23.87015,90.40055,-86.0,2.0
1,2,23.87014,90.40055,-85.0,0.0
1,2,23.87014,90.400545,-85.0,0.5
1,2,23.87014,90.40054,-85.0,1.0
1,2,23.87014,90.40053,-84.0,1.0
1,2,23.87014,90.40053,-83.0,1.0
1,2,23.87013,90.40053,-83.0,1.0
1,2,23.87013,90.40053,-83.0,1.0
1,2,23.87013,90.40053,-83.0,1.0
1,2,23.87012,90.40054,-86.0,1.0
1,2,23.87012,90.40054,-85.0,3.0
1,2,23.87011,90.40054,-84.0,4.0
1,2,23.8701,90.40053,-84.0,6.0
1,2,23.87006,90.40053,-86.0,6.0
1,2,23.87005,90.40053,-84.0,6.0
1,2,23.87003,90.40053,-83.0,7.0
1,2,23.87002,90.40053,-86.0,7.0
1,2,23.87001,90.40053,-82.0,5.0
1,2,23.87,90.40052,-82.0,1.0
1,2,23.87,90.400515,-82.0,1.5
1,2,23.87,90.40051,-81.5,2.0
1,2,23.86999,90.40051,-81.0,2.0
1,2,23.86998,90.4005,-81.0,4.0
1,2,23.86997,90.4005,-80.0,5.0
1,2,23.86997,90.4005,-79.5,6.0
1,2,23.86993,90.4005,-79.0,6.0
1,2,23.86991,90.4005,-79.0,9.0
1,2,23.86988,90.4005,-80.0,9.0
