variant,model,horizon_s,fold,seed,n,positive_rate,auprc,auprc_lift,auroc,brier,ece
+ self-excitation,multi-head MLP,0.5,0,1337,1559,0.05067350865939705,0.4688024017373549,9.251429674791599,0.9221176873075607,0.03466308495469426,0.020977023726059293
+ self-excitation,multi-head MLP,1.0,0,1337,1559,0.08915971776779986,0.7779772861816436,8.725658914799874,0.9281943459317055,0.03635808737743032,0.024657300804342655
+ self-excitation,multi-head MLP,2.0,0,1337,1549,0.1620400258231117,0.6373677100620668,3.9333967445663007,0.8185654915008687,0.09698199815452756,0.0680389275727574
+ self-excitation,multi-head MLP,3.0,0,1337,1540,0.22272727272727272,0.613323817952506,2.753698774480639,0.7674774886682207,0.14142237229174978,0.10277566846438539
+ self-excitation,multi-head MLP,5.0,0,1337,1523,0.314510833880499,0.6423448548399753,2.0423616157020508,0.7494520832833409,0.19417075752691235,0.14622831416710222
+ self-excitation,hazard MLP,0.5,0,1337,1559,0.05067350865939705,0.4271339386362692,8.429136839670173,0.9094893944577489,0.03734264346746859,0.02839841298351792
+ self-excitation,hazard MLP,1.0,0,1337,1559,0.08915971776779986,0.6286064895441213,7.05034185035457,0.8978062620326276,0.04771354592025128,0.027130238200892526
+ self-excitation,hazard MLP,2.0,0,1337,1549,0.1620400258231117,0.5708083073454115,3.522637721426464,0.8119632410266485,0.10372034704206448,0.07199305009323347
+ self-excitation,hazard MLP,3.0,0,1337,1540,0.22272727272727272,0.5810813478737958,2.6089366639231653,0.7798419761746446,0.14661852769999636,0.10147321196236705
+ self-excitation,hazard MLP,5.0,0,1337,1523,0.314510833880499,0.6368808528620065,2.024988598974605,0.7532355082027531,0.19328031836433401,0.13907221545595097
rf+mobility+history,multi-head LGBM,0.5,1,1337,1587,0.05040957781978576,0.5613515891844901,11.135812150447324,0.9285749834107498,0.03406471511358947,0.03077818803575438
rf+mobility+history,multi-head LGBM,1.0,1,1337,1587,0.08380592312539382,0.7888916702498577,9.41331639613928,0.9344251274679133,0.03401737454532395,0.0326177508065017
rf+mobility+history,multi-head LGBM,2.0,1,1337,1579,0.15452818239392022,0.6700629041698866,4.336185761001028,0.8662583655676306,0.08833323564703385,0.06388596713416317
rf+mobility+history,multi-head LGBM,3.0,1,1337,1571,0.21578612348822407,0.6425426827634653,2.9776830519805424,0.8212609661724708,0.13225759037739773,0.10261092418189081
rf+mobility+history,multi-head LGBM,5.0,1,1337,1552,0.3125,0.6751133538345776,2.1603627322706482,0.8040000386477164,0.17769881519519784,0.12922366513498368
rf+mobility+history,multi-head LGBM + isotonic,0.5,1,1337,1587,0.05040957781978576,0.507246251500972,10.062497514150532,0.9245686794956868,0.030145287373216728,0.008453077644537402
rf+mobility+history,multi-head LGBM + isotonic,1.0,1,1337,1587,0.08380592312539382,0.6914260880639156,8.250324825243865,0.9295823809868551,0.03347588968434004,0.010452544575283159
rf+mobility+history,multi-head LGBM + isotonic,2.0,1,1337,1579,0.15452818239392022,0.6325030654660375,4.093124345782267,0.860763185362559,0.08402640829184625,0.032739353315830375
rf+mobility+history,multi-head LGBM + isotonic,3.0,1,1337,1571,0.21578612348822407,0.6108942900282067,2.8310174915466453,0.8170576657855418,0.12445757763533383,0.051291140696614154
rf+mobility+history,multi-head LGBM + isotonic,5.0,1,1337,1552,0.3125,0.6397932254854256,2.047338321553362,0.8013922839834202,0.16718665689150902,0.08140561246996876
rf+mobility+history,multi-head LGBM + isotonic + monotone,0.5,1,1337,1587,0.05040957781978576,0.5133987274412586,10.184547255615968,0.9327264432647644,0.02980096964953179,0.00997701947921796
rf+mobility+history,multi-head LGBM + isotonic + monotone,1.0,1,1337,1587,0.08380592312539382,0.7503875326751756,8.953872288387245,0.9342984352214788,0.03250680730229715,0.008113055905529963
rf+mobility+history,multi-head LGBM + isotonic + monotone,2.0,1,1337,1579,0.15452818239392022,0.6510789306174296,4.213334555102136,0.8642629090685823,0.08432689753906422,0.030610704044971373
rf+mobility+history,multi-head LGBM + isotonic + monotone,3.0,1,1337,1571,0.21578612348822407,0.6359672129355605,2.9472108894447357,0.8259515189824923,0.12219821179318151,0.051136159503607365
rf+mobility+history,multi-head LGBM + isotonic + monotone,5.0,1,1337,1552,0.3125,0.6458149181541368,2.066607738093238,0.8013700615464885,0.16568220202152417,0.0765264892181821
