variant,model,horizon_s,positive_rate_mean,positive_rate_std,auprc_mean,auprc_std,auprc_lift_mean,auprc_lift_std,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std
+ self-excitation,multi-head LGBM + isotonic,2.0,0.126,0.0172,0.5956,0.0291,4.7933,0.5531,0.8532,0.0147,0.0716,0.0081,0.0225,0.0097
+ self-excitation,multi-head LGBM + isotonic,3.0,0.1765,0.0241,0.5603,0.039,3.208,0.3106,0.8108,0.0166,0.1073,0.0108,0.0332,0.0114
+ self-excitation,multi-head LGBM + isotonic,5.0,0.2609,0.0335,0.5706,0.0493,2.2036,0.1958,0.7766,0.021,0.1527,0.0133,0.0474,0.0136
+ self-excitation,multi-head LGBM + isotonic + monotone,0.5,0.0373,0.0057,0.4417,0.0529,12.0439,2.0076,0.923,0.0196,0.0244,0.0039,0.0113,0.0033
+ self-excitation,multi-head LGBM + isotonic + monotone,1.0,0.0677,0.0094,0.7714,0.0304,11.5784,1.5242,0.9341,0.0124,0.0244,0.0043,0.0114,0.0048
+ self-excitation,multi-head LGBM + isotonic + monotone,2.0,0.126,0.0172,0.6102,0.0281,4.9123,0.5707,0.8552,0.0147,0.0709,0.0083,0.0225,0.0095
+ self-excitation,multi-head LGBM + isotonic + monotone,3.0,0.1765,0.0241,0.5811,0.036,3.33,0.333,0.8154,0.016,0.1057,0.0107,0.0346,0.0108
+ self-excitation,multi-head LGBM + isotonic + monotone,5.0,0.2609,0.0335,0.5892,0.0455,2.2773,0.2092,0.7805,0.0209,0.1508,0.0131,0.0479,0.0138
+ self-excitation,multi-head MLP,0.5,0.0373,0.0057,0.3544,0.044,9.6227,1.403,0.8879,0.0241,0.0304,0.0041,0.0221,0.0042
+ self-excitation,multi-head MLP,1.0,0.0677,0.0094,0.7152,0.024,10.7349,1.3951,0.9098,0.0163,0.0331,0.0048,0.0241,0.0061
+ self-excitation,multi-head MLP,2.0,0.126,0.0172,0.5523,0.0379,4.4323,0.4386,0.8152,0.0176,0.0909,0.0097,0.0659,0.0129
+ self-excitation,multi-head MLP,3.0,0.1765,0.0241,0.5237,0.0529,2.9871,0.2563,0.7763,0.0183,0.1353,0.0117,0.1004,0.0185
+ self-excitation,multi-head MLP,5.0,0.2609,0.0335,0.5354,0.0598,2.0617,0.1788,0.7381,0.0234,0.1996,0.0188,0.1561,0.0229
rf+mobility+history,hazard LGBM,0.5,0.0373,0.0057,0.458,0.0566,12.4467,1.7834,0.9353,0.0137,0.025,0.0037,0.0151,0.0048
rf+mobility+history,hazard LGBM,1.0,0.0677,0.0094,0.7801,0.0302,11.7005,1.5041,0.9376,0.0138,0.0254,0.0041,0.0138,0.0046
rf+mobility+history,hazard LGBM,2.0,0.126,0.0172,0.63,0.0331,5.0647,0.5448,0.8606,0.014,0.0722,0.0079,0.0336,0.0066
rf+mobility+history,hazard LGBM,3.0,0.1765,0.0241,0.6013,0.0452,3.4408,0.3281,0.8234,0.0183,0.1093,0.0104,0.0535,0.0111
rf+mobility+history,hazard LGBM,5.0,0.2609,0.0335,0.6149,0.0542,2.3743,0.2138,0.7879,0.0233,0.1604,0.0157,0.0835,0.0237
rf+mobility+history,hazard MLP,0.5,0.0373,0.0057,0.4029,0.0475,10.9378,1.4634,0.9035,0.0182,0.0278,0.0037,0.0178,0.0042
rf+mobility+history,hazard MLP,1.0,0.0677,0.0094,0.6282,0.0345,9.3959,1.0262,0.9,0.0182,0.0381,0.0046,0.0211,0.0049
rf+mobility+history,hazard MLP,2.0,0.126,0.0172,0.5179,0.0382,4.1572,0.4394,0.8087,0.0214,0.0884,0.0104,0.0593,0.0101
rf+mobility+history,hazard MLP,3.0,0.1765,0.0241,0.5072,0.0452,2.9002,0.2914,0.7688,0.0251,0.1325,0.0142,0.0952,0.0178
