model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
gru,default,3.0,5979,0.18748954674694765,0.4674731142406101,2.493328947408214,0.7695503228348798,0.17236225219366916,0.5340375663349181,0.13851520011731416,0.48452508004268946,0.47758474946022034,0.1016949152542373,0.9546768665313721,0.2872435325602141,0.8858941793441772,0.42194469223907227,0.7607884407043457,0.45241935483870965,0.3107266435986159
gru,default,5.0,5906,0.2758211987809008,0.524987979541623,1.9033634175401015,0.745478800551094,0.2008220423185719,0.6122341483257971,0.13679367607482135,0.5407350295553842,0.4271165430545807,0.05279312461632903,0.9641874432563782,0.22774708410067526,0.9068560600280762,0.38060159607120936,0.7934236526489258,0.5403973509933775,0.3886410942610764
gru,tuned,0.5,6049,0.04199041163828732,0.3020974893269135,7.194439814718503,0.8599131752189304,0.09464021148104793,0.30127459236326315,0.14777088684199746,0.3795918367346939,0.8485454320907593,0.2125984251968504,0.9249770641326904,0.468503937007874,0.7530507445335388,0.6181102362204725,0.5890440344810486,0.2651356993736952,0.1356382978723404
gru,tuned,1.0,6049,0.07257397917011076,0.5356396514500348,7.380601939911756,0.8738215601005364,0.09748746112171096,0.31444393522900765,0.13971930443007713,0.5343855693348366,0.7747995853424072,0.3325740318906606,0.8990325331687927,0.5694760820045558,0.7439988851547241,0.6856492027334852,0.5915154218673706,0.5390243902439025,0.24496877168632894
gru,tuned,2.0,6014,0.13451945460591952,0.46804215182709086,3.479364031011279,0.8060291936654044,0.1458974520303988,0.4608740813696572,0.16541344860922663,0.4867256637168141,0.7466406226158142,0.14709517923362175,0.939578115940094,0.39184177997527814,0.8135235905647278,0.519159456118665,0.6945798993110657,0.45918367346938777,0.26963024511840467
gru,tuned,3.0,5979,0.18748954674694765,0.49462194285642114,2.6381307728265315,0.785096196751342,0.16615070272315108,0.5222675783040304,0.16026575637153673,0.5096191597958382,0.6040458083152771,0.09545049063336307,0.9563106894493103,0.328278322925959,0.832655131816864,0.47725245316681536,0.7196668386459351,0.51183970856102,0.3228941684665227
gru,tuned,5.0,5906,0.2758211987809008,0.5452780111833975,1.9769256808159272,0.7618579714500721,0.19284569240014163,0.5964052727778799,0.1330857382700698,0.5655359565807327,0.5160868167877197,0.05954573357888275,0.967723548412323,0.24861878453038674,0.8680514693260193,0.3996316758747698,0.7665789723396301,0.5632342778161714,0.41239721695129666
tcn,default,0.5,6049,0.04199041163828732,0.31131867602270696,7.414042012839978,0.8590775376546439,0.0748580558599912,0.2550213447407771,0.08860013005071593,0.4067226890756303,0.8091574311256409,0.20078740157480315,0.9665787220001221,0.5196850393700787,0.7473257184028625,0.6377952755905512,0.4436938464641571,0.3208020050125313,0.12686567164179105
tcn,default,1.0,6049,0.07257397917011076,0.5309975963815712,7.316638862214406,0.867146204101852,0.08521079302594166,0.2903297994603525,0.09541075714201853,0.5370370370370371,0.8283319473266602,0.3348519362186788,0.9570549726486206,0.5603644646924829,0.7588996887207031,0.6765375854214123,0.520506739616394,0.5625,0.22433460076045628
tcn,default,2.0,6014,0.13451945460591952,0.4877492744563329,3.625864198492443,0.7941256446152731,0.14600165581256908,0.4930481281604258,0.14652374622473271,0.49336550060313633,0.7750634551048279,0.1841779975278121,0.9804264307022095,0.40914709517923364,0.8818568587303162,0.5290482076637825,0.7355142831802368,0.4817432273262662,0.23788546255506607
