model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
logreg,default,0.5,6049,0.0419904116382873,0.4431260354409373,10.553029088119017,0.9000244576848083,0.0786550305419582,0.2996177833009552,0.1268684365814482,0.5255023183925812,0.808645526525001,0.2795275590551181,0.9921453636613444,0.7047244094488189,0.7425227188388301,0.7874015748031497,0.49329096073216,0.4980694980694981,0.2521631644004944
logreg,default,1.0,6049,0.0725739791701107,0.7412089086230116,10.213149631573115,0.91969067602191,0.076151406924377,0.2606938807077714,0.1227983934476667,0.7245657568238214,0.8960140624855545,0.6378132118451025,0.9278254719220144,0.7403189066059226,0.6842913008353787,0.7927107061503417,0.4965700114422153,0.9208333333333332,0.3625128733264675
logreg,default,2.0,6014,0.1345194546059195,0.608327775137252,4.522228973640833,0.843540192051714,0.1405398021127088,0.4363474466006076,0.1897892141020546,0.5503258508327299,0.8056382900998196,0.3584672435105068,0.9263908187949828,0.4919653893695921,0.780758936142616,0.6007416563658838,0.6637743170186314,0.6008902077151336,0.2862190812720848
logreg,default,3.0,5979,0.1874895467469476,0.5897127767494299,3.14531016251993,0.8118649943865183,0.1635077770100087,0.4978946118875758,0.1826844123875092,0.5419878296146045,0.6161874177285371,0.2363960749330954,0.9367392734590092,0.407671721677074,0.8004569001730482,0.5084745762711864,0.6942304411190041,0.5604395604395604,0.3373448664911621
logreg,default,5.0,5906,0.2758211987809008,0.608796997301568,2.2072161240411665,0.7775904724300164,0.1866885249082272,0.5578457933802488,0.14120188532423,0.5655913978494623,0.5208427842011165,0.1399631675874769,0.9439673311274854,0.3278084714548803,0.8121146942635515,0.4493554327808471,0.7130376944758052,0.5912040374909877,0.4199677938808374
logreg,tuned,0.5,6049,0.0419904116382873,0.4600307659130596,10.95561457877204,0.9109122037053392,0.029296521063052,0.1096612651132794,0.0097076023065093,0.5393634840871022,0.2140482155225916,0.2992125984251969,0.5943438706370003,0.7047244094488189,0.1118447816136842,0.7913385826771654,0.0489285509158683,0.5141700404858299,0.2448979591836734
logreg,tuned,1.0,6049,0.0725739791701107,0.7702401214711471,10.613171969883757,0.9258763434966036,0.0282237055717141,0.1187232085040492,0.0097807939028962,0.7538071065989848,0.3977955191037384,0.6765375854214123,0.3977955191037384,0.7608200455580866,0.1354980202711366,0.8109339407744874,0.0791125616402818,0.9572649572649572,0.4345679012345679
logreg,tuned,2.0,6014,0.1345194546059195,0.6201339002469182,4.609994160797238,0.8454742456680311,0.0780111290080015,0.273633601530775,0.0241075661323056,0.5550239234449762,0.3564015203967736,0.3658838071693449,0.6603095075800133,0.5043263288009888,0.3475790290303831,0.6007416563658838,0.2363654095099854,0.6207951070336392,0.2905677246312025
logreg,tuned,3.0,5979,0.1874895467469476,0.5975221419372366,3.1869624323307204,0.8129786930081027,0.1125953456458239,0.3698705904548948,0.0306615259361036,0.5391705069124423,0.2534313724852943,0.2453166815343443,0.7669994499306414,0.4058876003568242,0.4824955344295069,0.5191793041926851,0.3433982167395433,0.563819095477387,0.3333333333333333
logreg,tuned,5.0,5906,0.2758211987809008,0.6118428357395739,2.2182589244186146,0.7777037168126859,0.1590284900553527,0.490795728034226,0.0498861398056202,0.5666854248733821,0.3320409523062186,0.1534683855125844,0.8586512426264488,0.3265807243707796,0.6306825936641357,0.440147329650092,0.5004733716191033,0.5918663761801016,0.4197491154712126
