operating_point,threshold,alarm_rate,alarms_per_hour,min_lead_time_s,n_adverse_events,n_warned,max_avoidable_frac,random_alarm_reference,lift_over_random,excess_over_random,actuator_efficacy,attainable_benefit_frac,ranker,seed
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,0.0,269,130,0.483271375464684,0.8926258175999999,0.541404209844674,-0.4093544421353159,0.75,0.362453531598513,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,0.0,269,130,0.483271375464684,0.8926258175999999,0.541404209844674,-0.4093544421353159,1.0,0.483271375464684,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,1.0,269,120,0.44609665427509293,0.8657822719999999,0.5152527011723024,-0.419685617724907,0.25,0.11152416356877323,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,1.0,269,120,0.44609665427509293,0.8657822719999999,0.5152527011723024,-0.419685617724907,0.5,0.22304832713754646,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,1.0,269,120,0.44609665427509293,0.8657822719999999,0.5152527011723024,-0.419685617724907,0.75,0.3345724907063197,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,1.0,269,120,0.44609665427509293,0.8657822719999999,0.5152527011723024,-0.419685617724907,1.0,0.44609665427509293,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,2.0,269,113,0.4200743494423792,0.8322278399999999,0.5047588283544795,-0.41215349055762074,0.25,0.1050185873605948,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,2.0,269,113,0.4200743494423792,0.8322278399999999,0.5047588283544795,-0.41215349055762074,0.5,0.2100371747211896,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,2.0,269,113,0.4200743494423792,0.8322278399999999,0.5047588283544795,-0.41215349055762074,0.75,0.3150557620817844,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,2.0,269,113,0.4200743494423792,0.8322278399999999,0.5047588283544795,-0.41215349055762074,1.0,0.4200743494423792,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,3.0,269,110,0.40892193308550184,0.7902847999999999,0.5174361610972423,-0.38136286691449806,0.25,0.10223048327137546,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,3.0,269,110,0.40892193308550184,0.7902847999999999,0.5174361610972423,-0.38136286691449806,0.5,0.20446096654275092,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,3.0,269,110,0.40892193308550184,0.7902847999999999,0.5174361610972423,-0.38136286691449806,0.75,0.3066914498141264,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,3.0,269,110,0.40892193308550184,0.7902847999999999,0.5174361610972423,-0.38136286691449806,1.0,0.40892193308550184,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,5.0,269,90,0.3345724907063197,0.6723199999999999,0.4976387593799378,-0.3377475092936802,0.25,0.08364312267657993,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,5.0,269,90,0.3345724907063197,0.6723199999999999,0.4976387593799378,-0.3377475092936802,0.5,0.16728624535315986,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,5.0,269,90,0.3345724907063197,0.6723199999999999,0.4976387593799378,-0.3377475092936802,0.75,0.25092936802973975,dedicated ping-pong model,1338
alarm_top_20pct,0.15162145545510092,0.2,724.0223463687151,5.0,269,90,0.3345724907063197,0.6723199999999999,0.4976387593799378,-0.3377475092936802,1.0,0.3345724907063197,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,0.0,269,201,0.7472118959107806,0.9939533824,0.7517574859562958,-0.24674148648921934,0.25,0.18680297397769516,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,0.0,269,201,0.7472118959107806,0.9939533824,0.7517574859562958,-0.24674148648921934,0.5,0.3736059479553903,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,0.0,269,201,0.7472118959107806,0.9939533824,0.7517574859562958,-0.24674148648921934,0.75,0.5604089219330854,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,0.0,269,201,0.7472118959107806,0.9939533824,0.7517574859562958,-0.24674148648921934,1.0,0.7472118959107806,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,1.0,269,196,0.7286245353159851,0.989922304,0.736042144289321,-0.2612977686840149,0.25,0.1821561338289963,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,1.0,269,196,0.7286245353159851,0.989922304,0.736042144289321,-0.2612977686840149,0.5,0.3643122676579926,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,1.0,269,196,0.7286245353159851,0.989922304,0.736042144289321,-0.2612977686840149,0.75,0.5464684014869888,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,1.0,269,196,0.7286245353159851,0.989922304,0.736042144289321,-0.2612977686840149,1.0,0.7286245353159851,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,2.0,269,182,0.6765799256505576,0.98320384,0.6881380016279813,-0.3066239143494425,0.25,0.1691449814126394,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,2.0,269,182,0.6765799256505576,0.98320384,0.6881380016279813,-0.3066239143494425,0.5,0.3382899628252788,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,2.0,269,182,0.6765799256505576,0.98320384,0.6881380016279813,-0.3066239143494425,0.75,0.5074349442379182,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,2.0,269,182,0.6765799256505576,0.98320384,0.6881380016279813,-0.3066239143494425,1.0,0.6765799256505576,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,3.0,269,175,0.6505576208178439,0.9720064,0.6692935569332094,-0.3214487791821562,0.25,0.16263940520446096,dedicated ping-pong model,1338
alarm_top_40pct,0.04684732150831996,0.4,1448.0446927374303,3.0,269,175,0.6505576208178439,0.9720064,0.6692935569332094,-0.3214487791821562,0.5,0.3252788104089219,dedicated ping-pong model,1338
