protocol,gate_mode,model,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
ours (grouped drive K-fold),hom_only,departmental_q_ttt,0.5,654.0,0.07399639848961478,0.08543383539412759,1.1532353197630716,0.5203120625844428,0.1217722231875237,1.1959025949588784,0.13478924520442245,0.1458373714539539,0.3700840135774416,0.01975174640282764,0.9037743067097889,0.07041917760675281,0.8178846018505453,0.11929821373318468,0.46557732586238626,0.07399639848961478,0.07399639848961478
ours (grouped drive K-fold),hom_only,departmental_gate,0.5,654.0,0.07399639848961478,0.07848337003458669,1.061314895071755,0.5205023912831147,0.16486021719716742,2.6572328333892408,0.16486021719716742,0.14030323978146222,0.4,0.0,inf,0.0,inf,0.05230024213075061,inf,0.07399639848961478,0.07399639848961478
ours (grouped drive K-fold),hom_only,ours_lgbm,1.0,654.0,0.1250124466147271,0.8238349576078734,6.951072396991464,0.9209221223662644,0.04170490393986485,0.22486477573424724,0.04090276440719991,0.8059152830770616,0.6480829890178872,0.6964226445288257,0.6229394915633805,0.759926936863982,0.0987167188701153,0.7984804230809076,0.032085500462092284,0.9871975806451612,0.5505745336733208
ours (grouped drive K-fold),hom_only,ours_lgbm_5feat,1.0,654.0,0.1250124466147271,0.47273758071600425,3.987592492532685,0.7656383216365746,0.1198972381744213,0.4415752325643799,0.11299991988501132,0.4669824561403509,0.6793562920141367,0.21663212967179318,0.95862377221658,0.3725962380149895,0.8010849356294306,0.4704101141280469,0.5486832594963007,0.3713940485800005,0.2147340262238271
ours (grouped drive K-fold),hom_only,reward_only_control,1.0,654.0,0.1250124466147271,0.1622619959373091,1.2899228942144843,0.6139542738027215,0.1639775216572722,0.8127002372439864,0.1363809101049447,0.26737900630869676,0.24182424916573972,0.0,inf,0.04068866571018651,1.0,0.12813297361507192,0.7830923248053392,0.157115722957519,0.157115722957519
ours (grouped drive K-fold),hom_only,departmental_q,1.0,654.0,0.1250124466147271,0.14559329684344377,1.1680767764458437,0.504702574626344,0.3304547386758165,0.9262050480265309,0.4410137500214252,0.23602378049835288,0.5099865127318134,0.01576470588235294,0.9286412634371448,0.07680171113788604,0.8351977671928197,0.12469632665651557,0.8128946322436745,0.13578746139013714,0.1304655674687442
ours (grouped drive K-fold),hom_only,departmental_q_ttt,1.0,654.0,0.1250124466147271,0.1378321393392256,1.0948579919706949,0.5226701287554987,0.16147911740321455,1.881597660878716,0.16986592011404672,0.2209586097772292,0.0,0.01758393113342898,0.9006801204372838,0.07514148433416756,0.8084038675676947,0.1321729086046238,0.43464478389598343,0.1250124466147271,0.1250124466147271
ours (grouped drive K-fold),hom_only,departmental_gate,1.0,654.0,0.1250124466147271,0.13352271673666802,1.0652837224008094,0.5229909473256277,0.1999368921067917,3.222602031188272,0.19993689210679172,0.2209586097772292,0.0,0.0,inf,0.0,inf,0.09200573888091822,inf,0.1250124466147271,0.1250124466147271
ours (grouped drive K-fold),hom_only,ours_lgbm,2.0,650.4,0.22024780309165654,0.6829416768517829,3.2041682901159683,0.815493163412701,0.12811417410152126,0.4944660612088482,0.10667803719169133,0.592584681098613,0.5837262659993554,0.410870703873334,0.9157825348987062,0.4745916622119772,0.6538231942039846,0.5462516285296649,0.3602890689971497,0.6687447517146051,0.37992892670969564
ours (grouped drive K-fold),hom_only,ours_lgbm_5feat,2.0,650.4,0.22024780309165654,0.49107966263765357,2.2990238164016503,0.7307252701839494,0.19027909574288054,0.5996345141789095,0.15680302650565853,0.4889398591372567,0.4519305832801808,0.1255787687801772,0.9588552193688799,0.2734639792785724,0.8650720047061722,0.35471361081421543,0.7695978081093011,0.4285688887193633,0.31660925684694086
ours (grouped drive K-fold),hom_only,reward_only_control,2.0,650.4,0.22024780309165654,0.27577485282634234,1.248184519503599,0.6140761831005338,0.20177463356112316,0.9423225941124089,0.11273987124399784,0.41470949751122477,0.24182424916573972,0.0011299435028248588,inf,0.039750633157997275,1.0,0.12409656009088268,0.7830923248053392,0.2709463040587884,0.2709463040587884
ours (grouped drive K-fold),hom_only,departmental_q,2.0,650.4,0.22024780309165654,0.24447045805563636,1.1171891992466387,0.5126149637190618,0.3150211675402443,0.8886229369710934,0.3479073562693443,0.36548197308116775,0.34855002482681396,0.014673680109097993,0.9074489081877282,0.07062000058865411,0.8341079314085842,0.11924044695448699,0.8132506077738766,0.23453085524224043,0.22817521667546004
ours (grouped drive K-fold),hom_only,departmental_q_ttt,2.0,650.4,0.22024780309165654,0.23547050001080025,1.066836411657333,0.5219946007785715,0.2375818280212713,3.1896902306518995,0.24123119433484624,0.3582711821309921,0.0,0.01605299045392558,0.9008676722191451,0.06811048925858929,0.7976385546393848,0.13501715763301236,0.43189000132752026,0.22024780309165654,0.22024780309165654
ours (grouped drive K-fold),hom_only,departmental_gate,2.0,650.4,0.22024780309165654,0.23280371304101513,1.054492466885088,0.5223301519860535,0.2685822052898584,4.329033748191341,0.2685822052898584,0.3582711821309921,0.0,0.0,inf,0.0,inf,0.08995129553867134,inf,0.22024780309165654,0.22024780309165654
ours (grouped drive K-fold),hom_only,ours_lgbm,3.0,646.2,0.2953375115957663,0.6668617529527145,2.3159240520689246,0.7726490782080675,0.18182091717342694,0.6451045592585959,0.15373638107678328,0.5862009107637713,0.2933409984830973,0.2820560888989877,0.9603170229218077,0.3854443209605911,0.849618450991286,0.4837779049434891,0.6429744213653505,0.6351456189422862,0.43161489204718767
ours (grouped drive K-fold),hom_only,ours_lgbm_5feat,3.0,646.2,0.2953375115957663,0.5325672278668907,1.8515602718676765,0.7157556723584148,0.21793653397640683,0.6603209421158056,0.16478550221234742,0.5388810862395372,0.38288593181754016,0.09633342978992128,0.9581096651237265,0.21525515842468587,0.8824427684187997,0.33078892587740094,0.7932365068282603,0.5043611022989065,0.3904700232866668
ours (grouped drive K-fold),hom_only,reward_only_control,3.0,646.2,0.2953375115957663,0.35798386346888045,1.212591626648599,0.6111458264984684,0.23531696783171502,1.1131678058863765,0.1546832141625599,0.5045703467144256,0.24182424916573972,0.0008438818565400843,inf,0.03499074720759392,1.0,0.11962713945284029,0.7830923248053392,0.3557071695120312,0.3557071695120312
ours (grouped drive K-fold),hom_only,departmental_q,3.0,646.2,0.2953375115957663,0.3229379829982537,1.1003598394345757,0.5163882406882292,0.3030240657266882,0.859852623921886,0.2816240631607518,0.4570281768998569,0.3461423611672088,0.009294936935436638,0.9138645141836615,0.06896994418384172,0.8345439488667067,0.12385838267225371,0.8114404779600868,0.3116985812547024,0.3042216254088932
