model,protocol,gate_mode,split,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,note
departmental_gate,ours (grouped drive K-fold),grid,fold1,5.0,698,0.45702005730659023,0.45702005730659023,1.0,0.5,0.45702005730659023,7.366293052372073,0.45702005730659023,0.6273352999016716,0.0,0.0,inf,0.0,inf,0.0,inf,0.45702005730659023,0.45702005730659023,their gate alone (grid): neighbour >= serving + 3.0 dB
reward_only_control,ours (grouped drive K-fold),grid,fold1,0.5,717,0.08089260808926081,0.10592982265162361,1.3095117731243815,0.6256606143058971,0.0865593029484392,0.39128916625071164,0.09998557206752273,0.19320214669051877,0.2413793103448276,0.0,1.0,0.0,1.0,0.0,1.0,0.10778443113772455,0.10778443113772455,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,ours (grouped drive K-fold),grid,fold1,1.0,717,0.1394700139470014,0.18239763151521227,1.307791017964072,0.6336142625607779,0.11887787169753745,0.521016427785847,0.04977636704660221,0.3094841930116473,0.2413793103448276,0.0,1.0,0.0,1.0,0.0,1.0,0.18562874251497005,0.18562874251497005,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,ours (grouped drive K-fold),grid,fold1,2.0,712,0.24859550561797752,0.3216897717160577,1.2940289122137463,0.6483024446908496,0.1787465430399872,0.7719211418525304,0.08010461061604031,0.48367952522255186,0.2413793103448276,0.0,inf,0.0,inf,0.0,inf,0.32796780684104626,0.32796780684104626,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,ours (grouped drive K-fold),grid,fold1,3.0,707,0.3352192362093352,0.42303238946485394,1.2619573812305982,0.6525585779692971,0.2303228963969949,1.0843906037349278,0.16724381797785695,0.5843621399176954,0.2413793103448276,0.0,inf,0.0,inf,0.0,inf,0.4329268292682927,0.4329268292682927,"rank by r(s,1) - r(s,0) directly; no Q-learning"
reward_only_control,ours (grouped drive K-fold),grid,fold1,5.0,698,0.45702005730659023,0.5561096116558526,1.2168166424319282,0.6597629465430394,0.305922475971776,1.6162529661845826,0.28929947633633046,0.6890547263681591,0.2413793103448276,0.0,inf,0.0,inf,0.0,inf,0.5711340206185567,0.5711340206185567,"rank by r(s,1) - r(s,0) directly; no Q-learning"
ours_lgbm,ours (grouped drive K-fold),grid,fold1,0.5,717,0.08089260808926081,0.46710336799303614,5.774364049155292,0.9027261786405735,0.0604375501131241,0.25992141208092884,0.059055963126936686,0.6308724832214766,0.026743614992073183,0.13793103448275862,0.9609726902509594,0.6896551724137931,0.16159653097425844,0.8275862068965517,0.013319867131735016,0.5633802816901409,0.5164835164835165,"same rows, same labels, 107 features"
ours_lgbm,ours (grouped drive K-fold),grid,fold1,1.0,717,0.1394700139470014,0.8164480114459869,5.853932242067726,0.9227876823338736,0.05144724904187528,0.27478820617573957,0.05064795487663375,0.7912087912087912,0.6354914348329478,0.63,0.988259033619879,0.77,0.08673808035435686,0.79,0.03657424491523251,0.9516129032258065,0.49390243902439024,"same rows, same labels, 107 features"
ours_lgbm,ours (grouped drive K-fold),grid,fold1,2.0,712,0.24859550561797752,0.7066887484929288,2.8427253611692955,0.8085748983578859,0.13920907771626023,0.557280900263716,0.11388054055146024,0.607843137254902,0.5208044189238947,0.4011299435028249,0.9314439756498307,0.4858757062146893,0.6560147461171113,0.5536723163841808,0.4225034018069528,0.7317073170731707,0.39944903581267216,"same rows, same labels, 107 features"
ours_lgbm,ours (grouped drive K-fold),grid,fold1,3.0,707,0.3352192362093352,0.7076125540870302,2.11089483434401,0.7671334949277314,0.19245350419770327,0.676275723051954,0.16953738791171738,0.601328903654485,0.09037999356559508,0.3080168776371308,0.9405971779436848,0.43037974683544306,0.7639639255007862,0.5063291139240507,0.5874235081081716,0.725609756097561,0.45913461538461536,"same rows, same labels, 107 features"
