feature_set,seed,horizon_s,task,n,positive_rate,auprc,auprc_lift,auprc_ci_low,auprc_ci_high,auroc,brier,ece,n_drives
rf+mob+hist,1338,5.0,handover@5.0s,6219,0.2770541887763306,0.6348823887943283,2.291545894319169,0.5857871178897806,0.692801915365915,0.7921549664059419,0.1691204135291495,0.10781479551438182,43
+ signalling,1338,0.5,handover@0.5s,6362,0.04228230116315624,0.461434248309857,10.913177277871043,0.4034436332673182,0.5261163354329486,0.9347255092534122,0.029259879313422138,0.023846040643592564,43
+ signalling,1338,1.0,handover@1.0s,6362,0.07324740647595096,0.8134168024219014,11.105059435639777,0.767805136357414,0.8538612513987547,0.9441310323140444,0.025295747923849497,0.021191468353793666,43
+ signalling,1338,2.0,handover@2.0s,6327,0.13560929350403034,0.6521837106539224,4.809284775416512,0.6168160840046893,0.6871145783221606,0.8622831121459755,0.077939062253832,0.05153047406371569,43
+ signalling,1338,3.0,handover@3.0s,6292,0.1889701207883026,0.6198532728739999,3.280165511289493,0.5817513378832871,0.6644883440228699,0.8253187038347304,0.1184198715801471,0.07893381224669808,43
+ signalling,1338,5.0,handover@5.0s,6219,0.2770541887763306,0.6418622877942339,2.3167391571632856,0.5943356118336226,0.7003720249843725,0.7978255773365581,0.16560719293269585,0.09967511317019313,43
signalling only,1338,0.5,handover@0.5s,6362,0.04228230116315624,0.21525481108457284,5.09089631271395,0.1702210793309016,0.2717024293496268,0.8104022105933006,0.03855856127083741,0.027869872390521307,43
signalling only,1338,1.0,handover@1.0s,6362,0.07324740647595096,0.37518217207830185,5.1221222720217945,0.32465714636149223,0.4207743847897786,0.823437072344093,0.05864549092779692,0.03739278146327616,43
signalling only,1338,2.0,handover@2.0s,6327,0.13560929350403034,0.39123498681302377,2.885016039121214,0.3489791801334304,0.44015301859527467,0.7751980755272034,0.10551018827551911,0.05893188828476367,43
signalling only,1338,3.0,handover@3.0s,6292,0.1889701207883026,0.43245750122897897,2.28849671802585,0.38755410836179965,0.4853626562607043,0.7510865736888227,0.13794626835031107,0.06014859150224558,43
signalling only,1338,5.0,handover@5.0s,6219,0.2770541887763306,0.4997540339189814,1.8038133122125046,0.4514479942763311,0.5560031399235524,0.723251131333869,0.1818584862082255,0.07613927541886667,43
rf+mob+hist,1339,0.5,handover@0.5s,6362,0.04228230116315624,0.4596722332432028,10.871504639008387,0.3853084394602023,0.5324918397442212,0.9328298608251165,0.02950381980623663,0.022879170147518953,43
rf+mob+hist,1339,1.0,handover@1.0s,6362,0.07324740647595096,0.8089513020827148,11.044094815129252,0.7607041989987479,0.8477923139245822,0.9410788430069704,0.025617413132520025,0.021634381045895774,43
rf+mob+hist,1339,2.0,handover@2.0s,6327,0.13560929350403034,0.6461989948822,4.765152727994964,0.6073645598498831,0.6877160173310749,0.8572963271262778,0.07887938768184735,0.054570068370162726,43
rf+mob+hist,1339,3.0,handover@3.0s,6292,0.1889701207883026,0.6155735456673508,3.2575178716055264,0.5740345902857139,0.6618656353252731,0.8154742333168026,0.11800098984582089,0.07503492446549787,43
rf+mob+hist,1339,5.0,handover@5.0s,6219,0.2770541887763306,0.6326502473009786,2.2834891978901837,0.5822385661304957,0.685794139622964,0.7840440616073513,0.16744131817248972,0.10297339352589907,43
+ signalling,1339,0.5,handover@0.5s,6362,0.04228230116315624,0.4681021538474954,11.07087696199913,0.39694572055704214,0.540476326669931,0.9297932846334113,0.029064839580816317,0.022811357148935868,43
+ signalling,1339,1.0,handover@1.0s,6362,0.07324740647595096,0.8074082691922392,11.023028773821943,0.760014354831611,0.8459290256774191,0.9404124277170527,0.025724478415147498,0.022354301887118268,43
+ signalling,1339,2.0,handover@2.0s,6327,0.13560929350403034,0.6504619103770737,4.796588003444925,0.6133604093171181,0.6887245995247482,0.8618176788774704,0.07799994050287985,0.05448135068744606,43
+ signalling,1339,3.0,handover@3.0s,6292,0.1889701207883026,0.6211526918773709,3.2870418311963143,0.580257804747691,0.6666501713896408,0.8205457071295155,0.11718705830787154,0.07745061746973446,43
+ signalling,1339,5.0,handover@5.0s,6219,0.2770541887763306,0.6395340154080714,2.308335485677769,0.5866428572179643,0.6909824626476867,0.7911532376493041,0.16536767440168906,0.10210218284816788,43
signalling only,1339,0.5,handover@0.5s,6362,0.04228230116315624,0.21960711967691868,5.193830837860805,0.1734243785645033,0.27905621928700086,0.8039428511113673,0.03840355147754981,0.028047184385595638,43
signalling only,1339,1.0,handover@1.0s,6362,0.07324740647595096,0.3723404073126538,5.083325474942281,0.31725753117440714,0.42079127717437914,0.8290763069164517,0.05886020937867118,0.03530244514257208,43
signalling only,1339,2.0,handover@2.0s,6327,0.13560929350403034,0.3677372932993002,2.711741089399385,0.3232412132417,0.4107288041296971,0.7638537789388035,0.10786317289001861,0.06097469683223669,43
signalling only,1339,3.0,handover@3.0s,6292,0.1889701207883026,0.4275251763548631,2.2623956346718237,0.37831837840333327,0.4742762070674621,0.7460919029308277,0.13907530581271957,0.061704066940905716,43
signalling only,1339,5.0,handover@5.0s,6219,0.2770541887763306,0.4937709353146644,1.7822179029146246,0.4440329494488493,0.5465492866178362,0.7134831141578353,0.18526942636404414,0.0838068441277602,43
