model,feature_set,seed,condition,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_ci_low,auprc_ci_high,n_drives
lgbm,rf_mob_hist,1337,random_row,1.0,1244,0.06591639871382636,0.7742377216249008,11.745752752455813,0.9280781663238319,0.027219124519276792,0.16268646239290846,0.02636814465711838,0.7647058823529412,0.8965051954246622,0.6463414634146342,0.5393745978832892,0.7439024390243902,0.013071261448845514,0.8414634146341463,0.004464369885584754,0.9772727272727273,0.44666666666666666,0.6937967038569472,0.8465452693237907,57
lgbm,rf_mob_hist,1337,random_row,2.0,1236,0.12702265372168284,0.6490686270984104,5.109865115246085,0.8711888219216898,0.0759618158440005,0.33712415708531235,0.0635116974459091,0.5695364238410595,0.12944781585023435,0.39490445859872614,0.7136774293686158,0.5159235668789809,0.1636426009704091,0.6242038216560509,0.07325013740041304,0.6153846153846154,0.3038277511961722,0.5687131025448932,0.7148270967298871,57
lgbm,rf_mob_hist,1337,random_row,3.0,1234,0.17260940032414912,0.720541788248493,4.174406416425541,0.8991093147195284,0.0913226174641208,0.3225433624893194,0.06648891331431662,0.6283367556468172,0.1524253465077387,0.37089201877934275,0.852563831480203,0.5211267605633803,0.4490452310875236,0.6572769953051644,0.22344130726332642,0.7379310344827587,0.4789915966386555,0.6561095673266517,0.7813670882862992,57
lgbm,rf_mob_hist,1337,random_row,5.0,1224,0.2581699346405229,0.8318785958932966,3.2222132954854272,0.9281666480789605,0.09162551375185989,0.3115658305999332,0.05208313929763443,0.7694610778443114,0.33753981287118706,0.3512658227848101,0.9338574106949091,0.6265822784810127,0.6362823216626721,0.7974683544303798,0.368453280250947,0.8556149732620321,0.7333333333333333,0.7996572184382014,0.8667717782988911,57
mlp,rf_mob_hist,1337,random_row,0.5,1244,0.03858520900321544,0.5204384744496562,13.488030462820255,0.9254110925306577,0.046657882489654696,0.18507462024332866,0.07796881034637568,0.6122448979591836,0.7943068742752075,0.375,0.9690626859664917,0.75,0.5818473696708679,0.8333333333333334,0.31526297330856323,0.6041666666666666,0.3023255813953488,0.3714162006896919,0.6837573269115874,57
mlp,rf_mob_hist,1337,random_row,1.0,1244,0.06591639871382636,0.7121801621859554,10.804294167796689,0.8998467738550018,0.056947015711244234,0.20436961379757163,0.08505369614534852,0.7101449275362318,0.8807864189147949,0.6097560975609756,0.8075570464134216,0.6707317073170732,0.5425665378570557,0.7682926829268293,0.34799468517303467,0.9318181818181818,0.27848101265822783,0.6312906887789747,0.7970963137856616,57
mlp,rf_mob_hist,1337,random_row,2.0,1236,0.12702265372168284,0.5993289387205234,4.718283874258389,0.8449850356841379,0.11950431685891312,0.37347607388755977,0.1552660043584842,0.5447470817120622,0.7612866163253784,0.3375796178343949,0.8746297359466553,0.46496815286624205,0.7115233540534973,0.5732484076433121,0.581760823726654,0.5337837837837838,0.267515923566879,0.5192279755319711,0.6782332364057443,57
mlp,rf_mob_hist,1337,random_row,3.0,1234,0.17260940032414912,0.6101182563114047,3.5346757196632552,0.8271785463022996,0.1484619984028408,0.4490123217285414,0.17763476817573556,0.5393258426966292,0.5218488574028015,0.27699530516431925,0.8719896078109741,0.4131455399061033,0.7386030554771423,0.539906103286385,0.6266402006149292,0.5463414634146342,0.33463796477495106,0.5358947293178536,0.6842676028700928,57
mlp,rf_mob_hist,1337,random_row,5.0,1224,0.2581699346405229,0.6608478212281301,2.559739661972251,0.817675514414766,0.16499189349725893,0.49381775038891224,0.14621750791359303,0.6034755134281201,0.5823382139205933,0.22151898734177214,0.8524252772331238,0.34810126582278483,0.7437273859977722,0.5126582278481012,0.6474009156227112,0.6666666666666666,0.4386873920552677,0.5989101608371814,0.7162628989804563,57
gru,rf_mob_hist,1337,random_row,0.5,1244,0.03858520900321544,0.4604975311702333,11.934561016161878,0.9499895484949833,0.0312729060616531,0.14409167426446853,0.029691538005014735,0.5614035087719298,0.1532258242368698,0.375,0.9626192450523376,0.7916666666666666,0.02048526145517826,0.8958333333333334,0.002867872826755047,0.5853658536585366,0.31007751937984496,0.3548683919048105,0.6208339878773532,57
gru,rf_mob_hist,1337,random_row,1.0,1244,0.06591639871382636,0.768764078989991,11.662713588579864,0.9579677595399017,0.03268332020175971,0.1592067173984902,0.03392388474372444,0.7132867132867133,0.709074854850769,0.6219512195121951,0.709074854850769,0.7682926829268293,0.04798904061317444,0.8780487804878049,0.003541661659255624,0.8518518518518519,0.46808510638297873,0.7063381661733358,0.832668414142505,57
gru,rf_mob_hist,1337,random_row,2.0,1236,0.12702265372168284,0.8055272504401355,6.341603067159284,0.9598590343736534,0.056896015801868545,0.23313052692828706,0.051071203818536,0.7425474254742547,0.12718431651592255,0.4968152866242038,0.9608932733535767,0.7579617834394905,0.4985400140285492,0.9044585987261147,0.04124907776713371,0.851063829787234,0.6580310880829016,0.7577079333027756,0.858288191844744,57
gru,rf_mob_hist,1337,random_row,3.0,1234,0.17260940032414912,0.8654677838122046,5.0140246254660115,0.9617331806707039,0.06351932953767567,0.2532044853785282,0.05381505336062126,0.7982261640798225,0.5568966269493103,0.5070422535211268,0.9883500337600708,0.812206572769953,0.6984202265739441,0.9014084507042254,0.20782944560050964,0.9304347826086956,0.7772727272727272,0.8340210467357136,0.8948751424633022,57
gru,rf_mob_hist,1337,random_row,5.0,1224,0.2581699346405229,0.914542263382146,3.542404210062489,0.9631614899905202,0.07251088434506808,0.28339120971088066,0.05751434262433249,0.8465116279069769,0.7190355062484741,0.560126582278481,0.9947910308837891,0.8006329113924051,0.8528338670730591,0.9082278481012658,0.3545463979244232,0.9644970414201184,0.8518518518518519,0.8897137746685552,0.9362679311204022,57
tcn,rf_mob_hist,1337,random_row,0.5,1244,0.03858520900321544,0.47500548117974895,12.310558720575159,0.9194711538461539,0.031122622217496218,0.14837048713189765,0.028555814719154998,0.5614035087719298,0.12979756295681,0.3541666666666667,0.9316365122795105,0.6875,0.049333877861499786,0.7916666666666666,0.006099911872297525,0.5434782608695652,0.23214285714285715,0.3360446388451837,0.6200089830722181,57
tcn,rf_mob_hist,1337,random_row,1.0,1244,0.06591639871382636,0.691061364316053,10.483906551331343,0.9252760169598254,0.03681489830877691,0.18445994734252089,0.03458326516147171,0.6533333333333333,0.37098613381385803,0.524390243902439,0.682276725769043,0.6341463414634146,0.08618331700563431,0.7804878048780488,0.00953088141977787,0.8367346938775511,0.34554973821989526,0.6016984249422189,0.7792782315953649,57
tcn,rf_mob_hist,1337,random_row,2.0,1236,0.12702265372168284,0.6538369063932541,5.147403925490842,0.8894883797807595,0.0847142341999561,0.3410021931895602,0.06784749724553735,0.5804597701149425,0.2454870343208313,0.3503184713375796,0.953560471534729,0.5159235668789809,0.5918065905570984,0.6496815286624203,0.22113960981369019,0.626984126984127,0.36950146627565983,0.572791909358603,0.7179807407671416,57
tcn,rf_mob_hist,1337,random_row,3.0,1234,0.17260940032414912,0.6442611585745868,3.7324801393476057,0.864608480133166,0.12086287302943749,0.4458785985357418,0.09869564081533186,0.588785046728972,0.6351479887962341,0.26291079812206575,0.9901052117347717,0.43661971830985913,0.8437345623970032,0.6056338028169014,0.5840270519256592,0.6298342541436464,0.4379746835443038,0.5704172972871637,0.7018657406103119,57
tcn,rf_mob_hist,1337,random_row,5.0,1224,0.2581699346405229,0.6992226319430686,2.7083813338554297,0.8543537054592093,0.15532596204662164,0.5214407916270418,0.11942519131154611,0.6494252873563218,0.5007308125495911,0.2120253164556962,0.993048906326294,0.4240506329113924,0.9244363307952881,0.5727848101265823,0.7968488335609436,0.7085201793721974,0.4866920152091255,0.6348390472800779,0.7490460833378446,57
